守門者貓頭鷹雕像	Gatekeeper Owl Sculpture	문지기 부엉이 조각상
迷路的靈魂	Lost Spirit	길 잃은 영혼
依依不捨的靈魂	Regret many souls	미련 많은 영혼
神聖的貓頭鷹雕像	Sacred Owl Sculpture	신성한 부엉이 조각상
憂鬱的貓頭鷹雕像	Gloomy Owl Sculpture	우울한 부엉이 조각상
那些怪物是從哪冒出來的？	Or Will the monster Where appeared?	저 몬스터들은 어디서 나타난 것일까요?
領路人靈魂	Guiding Spirit	길잡이 영혼
不知名的靈魂	Unknown Spirit	이름 모를 영혼
貓頭鷹雕像的等待	I wait for the owl image	부엉이 조각상의 기다림
安靜的森林(1)	The Silent Forest (1)	고요의 숲(1)
提議要消滅暗黑吉嘎利。	I'll get rid of the Black Zigri	검은 지그리를 처치하겠다고 제안한다
安靜的森林(2)	The Silent Forest (2)	고요의 숲(2)
安靜的森林(3)	The Silent Forest (3)	고요의 숲(3)
提議要確認關口。	We propose is to confirm the barrier	관문을 확인하겠다고 제안한다
安靜的森林(4)	The Silent Forest (4)	고요의 숲(4)
提議要尋找靈魂。	To provide that the try to find the soul	영혼을 찾아보겠다고 제안한다
在毒裡的靈魂(1)	Spiritual Poison (1)	독 안에 든 영혼(1)
提議要消滅赤紅普朗基。	I'll get rid of the Puragi	붉은 푸라기를 처치하겠다고 제안한다
在毒裡的靈魂(2)	Spiritual Poison (2)	독 안에 든 영혼(2)
提議要消滅暗黑南瓜精。	I'll get rid of the Black Sakamoli	검은 사카몰리를 처치하겠다고 제안한다
在毒裡的靈魂(3)	Spiritual Poison (3)	독 안에 든 영혼(3)
提議要確認貓頭鷹雕像。	To provide as try to check the owl image	부엉이 조각상을 확인해보겠다고 제안한다
在毒裡的靈魂(4)	Spiritual Poison (4)	독 안에 든 영혼(4)
貓頭鷹雕像的救援請求	Relief request of owl image	부엉이 조각상의 구원요청
提議要消滅死亡魔特斯。	I'll get rid of the Desmodus	데스모두스를 처치하겠다고 제안한다
森林裡滲入魔族(1)	Demon soaked in the Woods (1)	숲에 스며든 마족(1)
提出要主動幫忙。	We propose to give help	도움을 주겠다고 제안한다
森林裡滲入魔族(2)	Demon soaked in the Woods (2)	숲에 스며든 마족(2)
提議要尋找貓頭鷹雕像。	We propose that the visit the owl image	부엉이 조각상을 찾아가겠다고 제안한다
靈魂獵人(1)	Soul Hunter (1)	영혼 사냥꾼(1)
提出確認貓頭鷹雕像。	We propose is to confirm the owl image	부엉이 조각상을 확인하겠다고 제안한다
靈魂獵人(2)	Soul Hunter (2)	영혼 사냥꾼(2)
提出清除陷阱的建議。	We propose that you want to remove the trap	함정을 제거하겠다고 제안한다
靈魂獵人(3)	Soul Hunter (3)	영혼 사냥꾼(3)
提議要消滅幽靈范托群。	I'll get rid of the Hallowventers	할로우벤터 무리를 처치하겠다고 제안한다
靈魂獵人(4)	Soul Hunter (4)	영혼 사냥꾼(4)
提議要消滅幽靈范托的建議。	I'll get rid of the Hallowventer	할로우벤터를 처치하겠다고 제안한다
打開關口(1)	Opening the Barrier (1)	관문 열기(1)
打開關口(2)	Opening the Barrier (2)	관문 열기(2)
告訴貓頭鷹雕像靈魂的故事。	I willing to talk of soul in owl image	부엉이 조각상에게 영혼의 이야기를 전해준다
迷失的靈魂(1)	The Wandering Soul (1)	헤매는 영혼(1)
迷失的靈魂(2)	The Wandering Soul (2)	헤매는 영혼(2)
提出要消滅黑暗史萊姆的建議。	I'll get rid of the Dark Slime	다크 슬라임을 처치하겠다고 제안한다
迷失的靈魂(3)	The Wandering Soul (3)	헤매는 영혼(3)
比特雷巨蜂的襲擊	Attack of Biteregina	비테레지나의 습격
狼人的襲擊	Attack of Werewolf	웨어울프의 습격
占領魔法師之塔的魔君主	Ma was occupied the tower of wizard monarch	마법사의 탑을 점령한 마군주
報答財務的恩惠[轉職寬恕者](4)	Grace of Wealth [Pardoner Advancement] (4)	재물에도 은혜를[파드너 전직](4)
密室的秘室	Behind closed doors of secret	밀실의 비밀
我會接受打賭。	I'll take the bet	내기에 응하겠다고 한다
接受試驗。	I accept the test	시험을 받아 들인다
好奇心承認	Positive of curiosity	호기심의 긍정
我會幫忙。	I'll do it	해주겠다고 한다
與虛弱的貓頭鷹雕像對話	I interact with weak owl image	약한 부엉이 조각상과 대화한다
進入布袋頭嶺	Enter Top Grip Peak	자루머리 고개 진입
移動至布袋頭嶺	Move to the Top Grip Peak	자루머리 고개로 이동한다
消滅暗黑吉嘎利	Defeat Black Zigri	검은 지그리 처치
消滅暗黑吉嘎利	I'll defeat the Black Zigri	검은 지그리를 처치한다
回收骨灰盆	The recovered the remains	유골함을 회수
收集散佈在布袋頭嶺入口的骨灰盆。	Collect the urn boxes scattered throughout the entrance of Top Grip Peak	자루머리 고개입구에 흩어져 있는 유골함을 모아온다
確認靈魂的關口	Check the soul of the barrier	영혼의 관문 확인
確認後進入靈魂的關口	Come back to make sure the soul of the barrier	영혼의 관문을 확인하고 돌아온다
與迷路的靈魂對話	Lost souls and conversation	길 잃은 영혼과 대화
沿著往北的路往上走與迷路的靈魂對話	To talk to the lost souls to climb along the north of the road	북쪽길을 따라 올라가 길 잃은 영혼과 대화한다
與迷路的靈魂對話	I will talk to the lost souls	길 잃은 영혼과 대화한다
消滅赤紅普朗基	Red plastic machine treatment	붉은 푸라기 처치
消滅赤紅普朗基	I do red plastic machine treatment	붉은 푸라기를 처치한다
與依依不捨的靈魂對話	Regret many souls and conversation	미련 많은 영혼과 대화
與依依不捨的靈魂對話	I will talk to regret many souls	미련 많은 영혼과 대화한다
消滅暗黑南瓜精	Defeat Black Sakmoli	검은 사크몰리 처치
消滅暗黑南瓜精	I'll defeat the Black Sakmoli	검은 사크몰리를 처치한다
消滅暗黑南瓜精	Defeat Black Sakmoli	검은 사카몰리 처치
確認貓頭鷹雕像	Check the Owl Sculpture	부엉이 조각상 확인
確認貓頭鷹雕像	I'll check the Owl Sculpture	부엉이 조각상을 확인한다
消滅蜂湧而上的怪物	Defeat the surging monsters	몰려드는 몬스터 처치
消滅蜂湧而上的怪物	I'll defeat the surging monsters	몰려드는 몬스터를 처치한다
與神聖的貓頭鷹雕像對話	Talk with the Sacred Owl Sculpture	신성한 부엉이 조각상과 대화
與神聖的貓頭鷹雕像對話	I'll talk to the Sacred Owl Sculpture	신성한 부엉이 조각상과 대화한다
消滅死亡魔特斯 	Defeat Desmodus	데스모두스 처치
消滅死亡魔特斯 	I'll defeat the Desmodus	데스모두스를 처치한다
消滅赤紅漁人怪	Defeat Red Fisherman	붉은 피셔맨 처치
與憂鬱的貓頭鷹雕像對話	Conversation with gloomy owl image	우울한 부엉이 조각상과 대화
與憂鬱的貓頭鷹雕像對話	I interact with gloomy owl image	우울한 부엉이 조각상과 대화한다
確認空空的貓頭鷹雕像	Check the empty owl image	텅빈 부엉이 조각상 확인
確認空空的貓頭鷹雕像	I check the empty owl image	텅빈 부엉이 조각상을 확인한다
清除靈魂的陷阱	Pitfalls Delete soul	영혼의 함정 제거
找尋並清除靈魂的陷阱	You want to delete by searching the pitfalls of soul	영혼의 함정을 찾아서 제거한다
消滅地獄亡靈的部下	Load treatment of Necroventer	네크로벤터의 부하 처치
消滅地獄亡靈的部下	I will exterminate the load of Necroventer	네크로벤터의 부하들을 처치한다
消滅靈魂獵人的部下	Load treatment of soul of Hunter	영혼 사냥꾼의 부하 처치
消滅鑰匙管理幽靈范托	Treatment of key keeper Hello vendor	열쇠 지기 헬로우벤터 처치
消滅鑰匙管理幽靈范托並獲得鑰匙	I get the key to defeat key keeper Hello Venter	열쇠 지기 헬로우벤터 처치하고 열쇠를 획득한다
鑰匙管理	Key keeper	열쇠 지기
幽靈范托的部下	Load of hollow vendor	할로우벤터의 부하
與領路人靈魂對話	Soul and conversation of Assistant	길잡이 영혼과 대화
與領路人靈魂對話	I talk to the soul of the Assistant	길잡이 영혼과 대화한다
消滅擋路的怪物	I beat the monster to interfere	방해하는 몬스터를 처치
消滅擋路的怪物	I have defeated the monster that interfere	방해하는 몬스터를 처치한다
消滅地獄亡靈的殘黨	Remnants extermination of Necroventer	네크로벤터의 잔당 처치
消滅暗黑史萊姆	Black slime extermination	검은 슬라임 처치
消滅暗黑史萊姆	I will defeat the black slime	검은 슬라임을 처치한다
確認可疑的場所	Check the suspicious location	의심스런 장소 확인
確認可疑的場所	I confirm the suspected location	의심스런 장소를 확인한다
於限制時間內存活於撲上前來的怪物攻擊下。	I survive from between the time limit pounce monster attacks	제한 시간동안 덤벼드는 몬스터의 공격에서 살아 남는다
與不知名的靈魂對話	Soul a conversation with unknown name	이름 모를 영혼과 대화
與不知名的靈魂對話	I will talk to the soul of unknown name	이름 모를 영혼과 대화한다
消滅擋路的怪物	Monster extermination to block the road	길을 가로막는 몬스터 처치
請消滅比特雷巨蜂。	Please defeat Biteregina	비테레지나를 처치하세요
消滅比特雷巨蜂	Defeat Biteregina	비테레지나 처치
狼人出現了。	Werewolf appeared	웨어울프가 나타났습니다
消滅突然出現的狼人	Werewolf extermination that appeared suddenly	갑자기 나타난 웨어울프 처치
消滅狼人	Werewolf extermination	웨어울프 처치
消滅哈明	Hamin treatment	하밍 처치
尋找占領魔法師之塔的魔君主	Ma monarch search that occupied the tower of the wizard	마법사의 탑을 점령한 마군주 찾기
去見佩迪米安的道具商人	Meet with the Item Merchant of Fedimian	페디미안의 도구상인 만나기
和突然出現的劍士大師對話	Suddenly appeared Swordsman master and conversation	갑자기 나타난 소드맨 마스터와 대화
發現隱藏任務	Hidden Quest occurrence	히든 퀘스트 발생
消滅報喪女妖	Banshee treatment	밴시 처치
和突然出現的法師大師對話	Suddenly appeared wizard master and conversation	갑자기 나타난 위저드 마스터와 대화
拜訪法師大師	Find Wizard Master	위저드 마스터 찾아가기
和突然出現的弓箭手大師對話	Archer Master and conversation that appeared suddenly	갑자기 나타난 아처 마스터와 대화
和突然出現的牧師大師對話	Cleric master and conversation that appeared suddenly	갑자기 나타난 클레릭 마스터와 대화
在大教堂中尋找大理石雕像	Available from the Cathedral of marble sculpture	대성당에서 대리석 조각 구하기
將大理石雕像轉交給雕刻家泰斯拉	Marble sculpture transferred to the sculptor Tesla	조각가 테슬라에게 대리석 조각 전달
進入庫萊嶺	Enter Kule Peak	쿨레 고개 진입
移動至萊嶺	Move to Kule Peak	쿨레 고개로 이동한다
收集散佈在庫萊嶺入口的骨灰盆。	Collect the Remains' boxes that are scattered across Kule Peak	쿨레 고개입구에 흩어져 있는 유골함을 모아온다
正在配置引誘物	Placing handouts	유인물 배치 중
點火中	Lighting up	불 붙이는 중
Notice/已將靈魂的骨灰盆交給貓頭鷹雕像	Notice/Delivered the soul remains to the Weak Owl Sculpture	Notice/영혼의 유골함을 약한 부엉이 조각상에게 전달했습니다
安裝鑰匙中	Setting up the key	열쇠 설치 중
放餌中	Putting the bait	미끼를 놓는 중
除草劑始使用中	Using the herbicide	제초제 사용 중
Notice/請移動至下一地區。#5	Notice/Move to the next region#5	Notice/다음 지역으로 이동하세요#5
燃燒中	Burning	태우는 중
未爆彈處理(1)	Discarding Blind Shells (1)	불발탄 처리(1)
詢問如何處理。	What do I need to do?	어떻게 처리하는지 대해 묻는다.
未爆彈處理(2)	Discarding Blind Shells (2)	불발탄 처리(2)
直到最後一隻	Until the last one	마지막 한 마리까지
我會努力看看。	I will try my best	노력해 보겠다고 한다.
聽說那傢伙難搞所以我會拒絕。	He is too much for me	아무래도 그런 녀석은 벅차다며 거절한다.
未爆彈處理	Discarding Blind Shells (3)	불발탄 처리
解除未爆彈	Disable the Blind Shells	불발탄 해제하기
消滅樹林巨獸哥布林	Defeat Giant Wood Goblin	자이언트 우드 고블린 처치
奎波爾梅伊雷	Kupole Meile	큐폴 메일레
雪德利佳伊拉	Svitrigaila	쉬트리가일라
避開石化霜	Avoid the Petrifying Frost	석화 서리를 피해
怪物懷裡的部隊印章	The seal which the monster possesses	몬스터가 품은 부대 인장
觀察石化探測器	Look at the Petrification Detector	석화 탐지기 살펴 보기
避開石化霜	Avoid the Petrifying Frost	석화 서리 피하기
打開寶箱	Open the Treasure Chest	보물상자 열어보기
避開石化霜消滅怪物	Avoid the Petrifying Frost and defeat the monsters	석화서리를 피해 몬스터 처치하기
請和葳荷米娜凱利奧特對話	Talk to Wilhelmina Carriot	빌헬미나 캐리어트와 대화하세요
取得露克立斯的部隊印章、羊皮紙文件	Obtain Ruklys' Army Seals and Parchments	루클리스의 부대 인장, 양피지 문서 구하기
祭司尤塔	Priest Juta	사제 유타
信號	Signal	신호
斬斷尾巴(1)	Cutting the Tail (1)	꼬리자르기(1)
斬斷尾巴(2)	Cutting the Tail (2)	꼬리자르기(2)
斬斷尾巴(3)	Cutting the Tail (3)	꼬리자르기(3)
到達死胡同(1)	A Dead End (1)	막다른 곳에 다다라(1)
到達死胡同(2)	A Dead End (2)	막다른 곳에 다다라(2)
到達死胡同(3)	A Dead End (3)	막다른 곳에 다다라(3)
記錄文物避難所	Archive Shelter	기록물 대피소
高尚的魔君主	Elegant Demon Lord	고상한 마군주
尋找自我的旅程(1)	The Journey to Find Myself (1)	나를 찾는 여정(1)
尋找自我的旅程(2)	The Journey to Find Myself (2)	나를 찾는 여정(2)
尋找自我的旅程(3)	The Journey to Find Myself (3)	나를 찾는 여정(3)
尋找自我的旅程(4)	The Journey to Find Myself (4)	나를 찾는 여정(4)
尋找自我的旅程(5)	The Journey to Find Myself (5)	나를 찾는 여정(5)
尋找自我的旅程(6)	The Journey to Find Myself (6)	나를 찾는 여정(6)
無止盡的交易(1)	An Endless Deal (1)	끝없는 거래(1)
無止盡的交易(2)	An Endless Deal (2)	끝없는 거래(2)
無止盡的交易(3)	An Endless Deal (3)	끝없는 거래(3)
無止盡的交易(4)	An Endless Deal (4)	끝없는 거래(4)
勒肯家的悲劇(1)	The Legwyn Family's Tragedy (1)	르귄가의 비극(1)
勒肯家的悲劇(2)	The Legwyn Family's Tragedy (2)	르귄가의 비극(2)
勒肯家的悲劇(3)	The Legwyn Family's Tragedy (3)	르귄가의 비극(3)
執行	Progress	진행
修理中/HAMMERING/5/TRACK_AFTER/None	Repairing/HAMMERING/5/TRACK_AFTER/None	수리 중/HAMMERING/5/TRACK_AFTER/None
修理中/HAMMERING/3/TRACK_BEFORE/None	Repairing/HAMMERING/3/TRACK_BEFORE/None	수리 중/HAMMERING/3/TRACK_BEFORE/None
和團員伊魯曼塔斯對話	Talk with Member Irmantas	단원 이르만타스와 대화
拜訪團員克拉其那	Go meet Member Grazina	단원 그라지나와 찾기
好像聽到附近有人在叫我。	You can hear someone calling somebody	주변에서 누군가 부르는 소리가 들립니다.
和團員克拉其那對話	Talk with Member Grazina	단원 그라지나와 대화
將物品轉交給伊魯曼塔斯	Hand over the goods to Member Irmantas	이르만타스에게 물품 전달
拜訪團員阿爾利那	Go meet with Member Alina	단원 알리나 찾아가기
和團員阿爾利那對話	Talk with Member Alina	단원 알리나와 대화
和團員阿爾利那對話	Talk with Member Allin	단원 알린와 대화
燃燒中	Getting rid of it	소각 중
連保管所都找不到牠的蹤跡。	There aren't any traces of the storage left	보관소의 흔적조차 남아 있지 않습니다
為大體祈禱	Praying for the dead	시신의 명복을 비는 중
為死者祈禱	Praying for the dead	명복을 비는 중
