我的成就	My Achievements	나의 업적
伺服器排名	Server Ranking	서버 랭킹
아베일레스트	Availest	아베일레스트
3小時 16分	3 hours 16 minutes	3시간 16분
書名	Book Name	책이름
所受傷害	Damage Received	받은 데미지
技術紅利	Technique Bonus	테크닉 보너스
迴避紅利	Evasion Bonus	회피 보너스
清除時間	Clear Time	클리어 시간
總分	Total Score	총 점수
10分	10 minutes	10분
10秒	10 seconds	10초
自動販賣機名稱	Vending Machine Name	자판기 이름
BUFF自動販賣機	Buff Vending Machine	버프 자판기
馬車選單	Carriage Menu	마차메뉴
挑選	Casting	캐스팅
意志力	Psychokinesist	사이코키네스스트
幾階	How many circles	몇 서클
可轉職通知	Advancement Alarm	전직 가능 알람
顯示對話框	Show Chat Balloon	말풍선 표시
畫面上方顯示大喊內容	Show Shouts on Top	화면 상단에 외치기 내용 표시
隊伍名稱	Team Name	팀이륨
角色名稱	Character Name	캐릭이륨
젼샤	Warrior	젼샤
設定	Settings	설정
NPC名稱	NPC Name	엔피씨이름
比較	Compare	비교
插圖	Illustration	일러스트
選擇對話	Select a conversation	대화 선택
Text Help	Text Help	텍스트 헬프
任務情報	Quest Information	퀘스트 정보
我的交易目錄	My Trading List	내 거래 목록
輸入	Enter	입력
對方名稱	Other Player's Name	상대방이름
參與遊戲	Join Game	게임 참여
預設噴槍	Spray Presets	스프레이 프리셋
公會	Guild	길드
名單	List	명단
新消息	News	새소식
公會任務	Guild Mission	길드미션
連線中的成員人數	Members Online	접속중인 구성원 수
上一頁	Previous Page	이전 페이지
下一頁	Next Page	다음 페이지
檢索輸入的 ID。	Enter the ID to search	입력한 ID를 검색합니다
關閉名譽殿堂。	Close the Hall of Fame	명예의 전당을 닫습니다
輸入要檢索的 ID。	Enter the ID to search	검색할 ID를 입력합니다
請輸入數量。	Please enter a quantity	수량을 입력하세요
사울레이 어쩌고	What about Siauliai	사울레이 어쩌고
序曲	Intro	인트로
重量	Weight	무게
怪物體力量條	Monster HP Bar	몬스터 체력게이지
鍵盤戰士	Keyboard Warrior	키보드 워리어
擊殺	Kills	킬
99分 99秒	99 minutes 99 seconds	99분 99초
38000 分	38000 points	38000 점
已提升的神速藥水	Enhanced Speed Potion	향상된 신속의 물약
職業	Profession	직업
隊伍	Team	팀
咒語力	Spell Power	주문력
防禦力	Defense	방어력
魔法扺抗力	Magic Resistance	마법저항력
暴擊率	Critical Attack Rate	치명타율
請放上道具。	Please insert your items	아이템을 올려주세요
潛力	Potential	포텐셜
地區地圖	Area Map	지역 지도
攻城戰硬幣	Siege Coin	공성전 코인
某人處治了某人。	Someone was killed by someone	누군가누구를처치했습니다.
迷你遊戲	Minigame	미니게임
對象	Object	대상
不死鷹身女妖	Undead Harpy	언데드 하피
野獸 60 / 昆蟲 20 / 變異 10	Beast 60 / Insect 20/ Mutant 10	야수 60 / 곤충 20 / 변이 10
碎片的數量	Number of Fragments	파편의 갯수
零件1	Parts 1	파츠1
零件2	Parts 2	파츠2
零件3	Parts 3	파츠3
道具通知	Item Alarm	아이템알림
製造新手教學	How to Play	조작 튜토리얼
地圖霧化工具	Fog Map Tool	맵 포그 툴
怪物處死工具	Tool for killing monsters	몬스터 죽이기 툴
迷你地圖製作工具	Tool for making a mini-map	미니맵 만들기 툴
對話工具	Dialogue tool	다이얼로그 툴
希望等級                                 ~	Wish Level                                ~	희망 레벨                                 ~
使用檢索選項	Use Search	검색 옵션 사용
任務共有	Quest Sharing	퀘스트 공유
經驗值分配規則	EXP Distribution	경험치 분배규칙
道具分配規則	Item Distribution	아이템 분배규칙
輸入規則名稱。	Enter a name for the rule	규칙의 이름을 입력합니다
登錄規則。	Register Rules	규칙을 등록합니다
取消作業。	Cancel Action	작업을 취소합니다
小幫手標題	Help Topics	도움말 제목
可以使用在製毒的道具	Items that can be used to Craft poison	독 제조에 쓰일 수 있는 아이템
全選	Select All	전체 선택
再點擊一次取消全選	Click again to de-select all	한번 더 클릭시 전체 해제
製造	Crafting	제조
混合又混合攪拌再混合	shuffle shuffle mix and shuffle	섞고 섞고 돌리고 섞고
任務完成	Mission Complete	임무 완료
任務進行情報	Mission Progress Info	임무 진행 정보
使用任務道具	Use quest item	퀘스트 아이템 사용
任務提示	Quest Hint	퀘스트 힌트
您要返回到那一個任務？	Which quest would you like to go back to?	어떤 퀘스트로 돌아가시겠습니까?
shadow_box 暫時移除	shadow_box tentativeremoval	shadow_box 잠정제거
  穿戴裝備  	Equipped Equipment	  착용장비  
  所持裝備  	Equipment in the Inventory	  소지장비  
選擇全體	Select All	전체선택
修理需要道具目錄	List of repairable items	수리 필요 아이템 목록
復活聖所(70031)	Sanctuary of Resurrection (70031)	부활의 성소(70031)
休息快捷欄	Rest Quickslot	휴식 퀵슬롯
臨時名稱	Temporary Name	임시이름
請選擇道具。	Please select an item	아이템을 선택해주세요
製作費用	Crafting costs	제작 비용
製作數量	Crafting Qty	제작 갯수
큘레릭	Cleric	큘레릭
싸이코해승	Psychohassle	싸이코해승
鍵盤戰士	Keyboard Warrior	키보드워리어
顯示職業	Show Class	직업 출력
顯示角色名稱	Show Character Name	캐릭터 이름 출력
PC名稱	PC Name	PC이름
systemmenu_vertical 暫時移除	systemmenu_vertical tentative removal	systemmenu_vertical 잠정제거
小幫手(F1)	Help (F1)	도움말(F1)
內容	Contents	내용
詳細查看	View Details	상세보기
目標BUFF視窗	Target buff window	타겟버프창
Snow Halation	Snow Hallucination	스노우할레이션
花束	Bouquet	꽃다발
請輸入數量。	Please enter a quantity	개수를 입력하세요.
我的角色為相機角度	Center camera to my character	카메라를 나의 캐릭터로
(青銅 3)	(Bronze 3)	(브론즈 3)
台詞清單	Dialog list	대사 리스트
檢索.	Search	검색.
要儲存的群組名稱	The name of the group to save	저장할 그룹의 이름
filtering	Filtering	필터링
職業清單	Class List	클래스리스트
套用於XML	Apply to XML	XML에 적용
輸入檢索語。	Enter a keyword to search	검색어를 입력합니다.
所有屬性值	All attribute values	모든 속성 값
流氓	Rogue	로그
職業清單	Class list	클래스 리스트
XML變換	XML Conversion	XML변환
開啟資料夾	Open Folder	폴더열기
全部確認	Check All	전체체크
歷史記錄	History	히스토리
值回溯	Rollback Value	값롤백
輸入要檢索的名稱。	Enter the name you want to search	검색할 이름을 입력합니다.
輸入要檢索的任務名稱。	Enter quest name to search	검색할 퀘스트 이름을 입력합니다.
輸入要檢索的地圖名稱。	Enter map name to search	검색할 맵의 이름을 입력합니다.
systemmenu_vertical 暫時刪除	Provisional Delete	systemmenu_vertical 잠정삭제
選擇角色	Change Character	캐릭터선택
聊天拖曳	Chat Drag	채팅 드래그
loading背景	Loading background	로딩 배경
Tip	Tip	팁
遊戲Tip	Game Tips	게임팁
登入	Login	로그인
帳號	Account ID	계정
密碼	Password	비밀번호
儲存	Save	저장
伺服器目錄	Server List	서버 목록
登入標題	Login Title	로그인타이틀
[CBT版本]	[Closed Beta version]	[클로즈 베타 테스트 버전]
選項	Options	옵션
視野距離	Visibility Range	시야거리
陰影	Shadow	섀도우
使用陰影地圖	Enable Shadow Mapping	섀도우맵 사용
SSAO 使用	SSAO Use	SSAO 사용
水波紋	Water Reflection	물반사
角色水波紋	Characters Water Reflection	캐릭터 물반사
背景水波紋	Background Water Reflection	배경 물반사
Glow 使用	Enable Glow	Glow 사용
角色情報	Character Information	캐릭터정보
道具生成 UI	UI of Item Creation	아이템 생성 UI
紅武門	Hong Moo Moon	홍무문
大都川	Dae Do Cheon	대도천
話禪圖	Fire Swords	화선도
榮華極善宗	For adenomas hwageuk	용화극선종
天子城	Puncture sex	천자성
蓮花橋	Yeonhwagyo	연화교
男	Male	남
女	Female	여
調整頭部	Hair Adjustment	머리 조절
調整身高	Key Adjustment	키 조절
肩寬	Shoulder Width	어깨 넓이
手腳尺寸	Hand and Foot size	손, 발 크기
胸部尺寸	Chest Size	가슴 사이즈
腰圍尺寸	Waist Size	허리 사이즈
骨盆尺寸	Hip Size	골반 사이즈
預設值	Use Pre-set	미리설정값
任意設定值	Randomize	임의설정값
新人物生成	Create New Character	신규 인물 생성
取消人物生成	Cancel Character Creation	인물 생성 취소
客制化道具frame	Customized Item frame	커스터마이즈 아이템 프레임
綠色	Green	녹색
密度	Density	밀도
體力嗎？	Like HP	체력이라던가
基本內容名稱	Basic content name	기본 콘텐츠 이름
基本群組名稱	Basic group name	기본 그룹 이름
基本道具名稱	Basic item name	기본 아이템 이름
金平直	Mr Kim	김평직
不可交易	Untradable	거래 불가
不可強化	Unenhanceable	강화 불가
道具名稱	Item Name	템이름
幾級以上	Lv and above	레벨 몇 이상
誰都可以配戴	Everyone can equip	누구는 장착 가능
道具名稱	Item Name	아이템 이륨
多少	How much	얼마
다이야	Diamond	다이야
地區名稱	Region Name	지역이름
角色名字	Character Name	케릭터 이름
角色等級	Character Level	케릭터 레벨
角色紙條	Character Memo	케릭터 메모
聖職者 / 弓箭手	Cleric / Archer	성직자 / 궁수
均等分配	Equally	규운등 분배
隨機分配	Randomly	래앤덤하게 분배
我該怎麼辦	How do I	어떻게하면내가
不知道是誰	You don't see who it is	누군지모를까
任務用選單物件	Menu Objects for Quest	퀘스트용 메뉴오브젝트
任務的種類	Quest Categories	퀘스트의 카테고리
任務的清單物件	Quest Object List	퀘스트의 리스트 오브젝트
路線圖上使用的line	Line used on the roadmap	로드맵에서 사용하는 라인
欄位物件_一般用	Slot Object_Standard	슬롯 오브젝트_일반용
欄位物件_現金欄位	Slot Object_Cash Slot	슬롯 오브젝트_캐시슬롯
角色詳細情報類型1	Character Details Type 1	캐릭터 상세 정보 타입1
角色詳細情報類型2	Character Details Type 2	캐릭터 상세 정보 타입2
背包清單類型1	Inventory List Type 1	인벤토리 리스트 타입1
背包清單類型2	Inventory List Type 2	인벤토리 리스트 타입2
背包欄位類型	Inventory Slot Type	인벤토리 슬롯 타입
在市場查看道具_詳細	View item details on the Market	마켓에서 아이템 보기_디테일
道具名稱顯示	Output of Item Name	아이템 이름 출력
顯示剩下的數量	Output of the number of remaining	남아 있는 개수를 출력
顯示值	Output of Value	값을 출력
裝在購物車時	When you add it to cart	카트에 담았을 때
顯示總金額	Output of total value	총합을 출력
道具顯示用	For item output	아이템 출력용
顯示單價	Output of unit price	단가출력
道具種類	Item category	아이템 카테고리
新消息	News	새 소식
펠탕스탕	Peltang Stang	펠탕스탕
99 階	99 Circle	99 서클
消滅布貝刀斧手8隻	Defeat 8 Mad Vubbe	부베 망나니 8마리 처치
Tool tip	Tooltip	툴팁
見習生劍	Apprentice Sword	어프렌티스 소드
寵物名稱	Pet Name	펫이름
雜貨商組合	Chandler bundle	잡화상 묶음
NXP 消耗	Consume TPs	NXP 소모
種類名稱	Category Name	카테고리이름
我是小幫手。	This is a Help	도움말 입니당
任務清除 25個	Clear Quest 25	퀘스트 클리어 25개
- [副線] 荊棘林	[Sub]Thron Forest	- [서브] 가시숲
第幾次轉職情報	Advancement Alarm	몇차 전직 정보
heart嗎?	Like Heart	하트라던가
綾瀬	Ayase	아야세
剩餘數量	Amount Left	남은갯수
windows	Windows	윈도우
狀態	Status	스테이더스
分頁	Tab	탭
圖片道具	Image Item	이미지아이템
效果	Effect	이펙트
控制裝置	Control Set	컨트롤셋
目前潛力	Current Potential	현재 포텐셜
消耗材料	Consumable Material	소비 재료
消耗數量	Consume Quantity	소비 갯수
持有數量	Quantity Available	보유 갯수
招牌名稱	Signboard Title	간판 제목
我的召喚技能	My Summon Skill	내 소환 스킬
主卡片	Main Card	메인 카드
副卡片	Secondary Card	보조카드
狀態	Stat	스텟
體質	CON	콘
智力	INT	인트
敏捷	DEX	덱스
爆擊	CRT	크리
單一價格	Unit Price	개당 가격
接收價格	Price to receive	받는 가격
消耗材料	Consumable Material	소비재료
剩餘數量	Amount Left	남은 갯수
技能等級	Skill Level	스킬레벨
商店名稱	Shop Name	상점 이름
委託購買	Request Buy-in	매입의뢰
住處變更	Change Lodge	숙소 변경
搜尋要購買的道具	Search for items to buy	구입할 아이템 검색
購買數量	Quantity	구매수량
單一價格	Unit Price	개당가격
職業Tip	Class Tip	클래스Tip
搖桿快捷鍵	Controller Quick Slot	조이스틱 퀵슬롯
支付金額	Payment	지급 금액
預估收益	Estimated Profit	예상 수익
所持金額	Funds	소지금
奉獻	Offer	봉헌하기
交易結算	Settle Transaction	거래 정산
預估餘額	Estimated Balance	예상 잔액
毒製造用材料道具	Materials for Poison	독 제조용 재료 아이템
髮色	Hairstyle Color	헤어컬러
可配戴的稱號	Available Titles	장착 가능 칭호
裝備中	Equipped	착용중
條件	Conditions	조건
搖桿休息快捷鍵	Controller Rest Quickslot	조이스틱 휴식 퀵슬롯
遊戲搖桿新手教學	Controller Tutorial	조이패드 튜토리얼
鍵盤新手教學	Keyboard Tutorial	키보드 튜토리얼
使用尋找隊員功能	Use Search Party 	파티원 찾기 기능 사용
任務進行	Questing	퀘스트 진행
狩獵中心	Hunting	사냥 중심
活動進行	Events	이벤트 진행
無關係  /	Not related	관계없음  /
遊戲搖桿	Controller	조이패드
鍵盤	Keyboard	키보드
遊戲faq	Game FAQ	게임faq
卡片大戰	Card Battles	카드대전
卡片決定	Select Card	카드 결정
職業名稱	Job Name	직업이름
無關係	Any	관계없음
各自獲得	Individual EXP	각자얻기
平均分配	Equal EXP	균등분배
等級差異	By Level	레벨차등
不使用	Disabled	사용안함
希望等級	Level	희망 레벨
根據距離	By Distance	거리에 의해
根據職業	By Class	직업에 의해
根據等級	By Level	레벨에 의해
根據進行任務	By Quest	진행 퀘스트에 의해
根據交情	By Closeness	친분에 의해
加入	Join	가입
簡易小幫手內容	Simple Help Details	심플 도움말내용
比賽結束	End Game	경기 종료
死亡	Deaths	데스
傷害量	Damage	피해량
相片說明	Image Description	사진에 대한 설명
組隊愉快嗎？	Did you have a good time with this party?	파티는 즐거우셨나요?
角色問候語	Character Greeting	캐릭터 인사말
購買委託商店	Buy-in Shop	매입의뢰상점
整理	Sort	정리
滑鼠新手教學	Mouse Tutorial	마우스 튜토리얼
以其他人視角觀戰	Spectate another character	다른사람 시점으로 관전하기
結果	Results	결과
腳數量	Leg Count	다리갯수
身高	Key	키
體重	Weight	몸무게
隧伍名稱	Team Name	팀 이름
分數	Score	점수
參與隊伍戰鬥聯盟	Join Team Battle League	팀 배틀 리그 참여
營地維持時間	Camp Duration	캠프 유지 시간
效果	Effect	효과
個人倉庫	Personal Storage	개인 창고
周邊組隊情報	Nearby Party Info	주변 파티 정보
親密度	Friendship	친밀도
動作	Action	액션
重置預設值	Restore defaults	기본값 복원
消耗數量	Consume Quantity	소비 개수
持有數量	Quantity Available	보유 개수
外型變更	Change Appearance	외형 변경
腳數量	Legs Quantity	다리개수
樓層	F	층
 商店名稱	 Store Name	 상점 이름
剩餘數量	Remaining Number	남은 개수
統合 公會戰鬥排名	Regional GvG Rankings	통합 길드배틀랭킹
我的公會排名	My Guild Ranking	내 길드 순위
上週排名	Previous Week's Standings	지난 주간 랭킹
第一名	1st	1위
300TP 交換券20張	20 x 300 TP Vouchers	300TP 교환권 20장
領取獎勵	Receive Rewards	보상 받기
生命時間	Duration	생명시간
副本掃盪卷{/}	Instance Clear Voucher	인스턴스 던전 소탕권{/}
注意事項	Warning	주의사항
萃取祝福石	Extract Blessed Gem	축복석 추출
祝福石萃取結果	Extraction Results	축복석 추출 결과
任務失敗	Mission Failed	미션 실패
TP儲值	Purchase TP	TP충전
壽命	Life	수명
分流 / 位置	Ch / Location	채널 / 위치
移動	Go	가기
製作數量	Crafting Number	제작 개수
隊伍情報	Team Info	팀 정보
能力值	Stat	능력치
購物車 TP	Shopping Bag TP	장바구니 TP
販賣道具 (禮包) 名稱	Name of (Package) being sold	판매 아이템 (패키지) 이름
藍隊	Blue Team	블루팀
紅隊	Red Team	레드팀
查看玩家視角	View from the Player's POV	플레이어 시점 보기
總角色	All Characters	총 캐릭터
日時分秒	Day Hour Minute Second	일시분초
地板型	Carpet-type	장판형
已登錄於冒險日誌。	Adventure Journal Updated	모험일지에 등록되었습니다.
提供 TP	Given TP	지급 TP
剩餘數量	Amount Left	남은개수
邀請你來到幸福的國家。	Come to the merry kingdom	행복한 나라로 오세요
隊伍戰鬥聯盟日程	Team Battle League Schedule	팀 배틀 리그 일정
最近戰績	Recent Records	최근 전적
名字升序{/}	Ascending by Name	이름 올림차순{/}
名字降序{/}	Descending by Name	이름 내림차순{/}
最近日期順序{/}	By Date	최근 날짜순{/}
暱稱及職業	Name & Class	이름 및 클래스
最近開啟的觀看目錄	View Recent History	최근 열린 관람 목록
觀看	Spectate	관전하기
每日獲得點數	Daily Points	일일 획득 포인트
目前購買點數	Purchased Points	현재 구매 포인트
戰績	Records	전적
[伺服器] 公會名稱	[Server] Guild Name	[서버] 길드명
戰績 / 分數	Record / Score	전적 / 점수
公會名稱和介紹	Guild Name & Description	길드명과 소개글
隊伍名稱	Team Name	팀이름
職責	Title	직책
只顯示連線中的成員	Show Online	접속인원만 보기
公告事項	Notice	공지사항
公會特性及情報	Guild Attributes & Info	길드 특성 및 정보
保管箱	Storage	보관함
戰爭公會目錄	Guild Wars List	전쟁 길드 목록
剩餘戰爭時間	Remaining Time	남은 전쟁 시간
塔持有目錄	Available Tower	타워 보유 목록
公會戰鬥排行	GvG Ranks	길드 배틀 랭킹
中立宣言	Declare Neutral	중립 선언
公會基地入場	Hangout Entry	아지트 입장
公會成長	Upgrade Guild	길드 성장
貢獻度排行	Contribution Rank	기여도 랭크
公會技能及資訊	Guild Skills & Information	길드 스킬 및 정보
未習得	Unlearned	미습득
* 對戰時	* When battling	* 대전 시
優惠	Benefits	혜택
最大BUFF套用數量增加	Increased maximum buff count	최대 버프 적용 개수 증가
領取道具	Retrieve Item	아이템 수령
卷軸販賣商店	Spell Sell Shop	주문 판매상점
縮小聊天視窗	Minimize Chat	채팅창 간략화
強制將聊天視窗卷軸移至下方	Chat Force Downscroll	채팅스크롤 강제 하단 이동
女神像HP	Goddess Statue HP	여신상HP
回合	Round	라운드
玩家	Player	플레이어
敵軍	Enemy	적군
挑戰	Challenge	도전
請選擇進行與否。	Please choose to proceed	진행 여부를 선택하세요
前往下一層樓	Moving to the next floor	다음층으로 이동
VIP一致	Token Match	토큰일치
科博爾特森林	Cobalt Forest	코발트숲
照換	Summon	소환
移動到公會成員	To Guild Member	길드원에게 가기
公會保管箱	Guild Storage	길드 보관함
超越	Transcendence	초월
道具萃取結果	Item Extraction Results	아이템 추출 결과
碎片數量	Number of Fragments	파편의 개수
顯示周邊組隊情報	Show Nearby Parties	주변 파티 정보 표시
登錄於公開組隊目錄	Public Party	공개 파티 목록에 등록
使用隊員推薦功能	Use 'Recommend Party'	파티원 추천 기능 사용
競爭任務	Competitive Mission	경쟁 미션
單位	Unit	단위
投標	Bid	입찰
剩餘投標時機	Remaining Bidding Time	남은 입찰 시간
道具骰子	Item Dice	아이템 주사위
{ol}數量	Number	{ol}개수
選擇出生地區	Select Starting City	시작 도시 선택
預覽	Preview	미리보기
配戴道具TP	Equipped Items TP	착용 품목 TP
購物車	Shopping Bag	장바구니
持有中的TP	Available TP	보유중인 TP
剩餘TP	Remaining TP	잔여 TP
購物車代幣	Medal Price	장바구니 메달
用保有中的道具交換代幣	Exchange items for medals	보유중인 아이템을 메달로 교환
用持有中的袋幣交換道具	Exchange medals for items	보유중인 메달을 아이템으로 교환
可購買目錄	Buyables	구매가능 목록
可販賣目錄	Sellables	판매가능 목록
 TP 購買	 TP Purchaseable	 TP 구매
消費代幣	Medal Consumed	소비 메달
獲得代幣	Medal Obtained	획득 메달
您要使用代幣來交換上面那個道具嗎？	Do you wish to spend medal for the item?	메달을 위 아이템으로 교환하시겠습니까?
您要用此道具來交換代幣嗎？	Do you wish to exchange the item for medal?	해당 아이템을 메달로 교환하시겠습니까?
請取名	Name	이름을 지어주세요
上一季排名	Last Season Standings	지난 시즌 랭킹
名稱/位置	Name/Location	이름/위치
入場等級	Entry Level	입장레벨
入場次數	Entry Count	입장 횟수
倍數模式套用個數	Multiply Mode Number	배수모드 적용 개수
進入副本	Enter Dungeon	던전 입장
代表登場怪物	Main Monster	대표 등장 몬스터
代表獲得裝備	Main Obtainable Equipment	대표 획득 장비
自動配對	Auto Match	자동매칭
您要使用職業重置道具嗎？{/}	Are you sure you want to use the Rank Reset Voucher?	랭크 초기화 아이템을 사용하시겠습니까?{/}
職業 15級	Class Level 15	클래스 15레벨
目前	Current	현재
公會權限	Guild Authority	길드 권한
交易時間	Transaction	거래일시
存款	Deposit	입금
提款	Withdrawal	출금
殘額	Remaining	잔액
道具名稱	Item Name	아이템 이름
1分30秒	1m30s	1분30초
魔法防禦手環	Magic Defense Bracelet	마법방어 팔찌
我的道具	My Item	내 아이템
投資	Investment	투자
購買比率	Purchase Rate	구매 비율
可購買點數	Can Purchase	구매 가능 포인트
消費持有金額	Amount Spent	소비 소지금
殘餘持有金額	Amount Left	잔여 소지금
隊伍倉庫	Team Storage	팀 창고
代表獲得道具	Main Drop Items	대표 획득 아이템
交易選項	Tradability	거래 옵션
商店	Shop	상점
個人	Personal	개인
交易{nl} 選項	Tradability	거래{nl} 옵션
需要點數	Required Points	필요 포인트
道具名	Item	아이템명
時間到期	Expiration Date	기간만료
立即領取市場販賣款項	Market silver instantly retrievable	마켓 판매금 즉시 수령
可使用隊伍倉庫	Movable via Team Storage	팀 창고 이용 가능
釣魚點數	Points	낚시 포인트
地下城名稱	Name	던전 이름
進場等級	Entry Level	입장 레벨
難易度	Difficulty	난이도
星	Order	별
開啟活動Banner。	Open Event Banner	이벤트 배너를 엽니다
日時分	Days/Hours/Minutes	일시분
隊伍名稱	Team	팀명
角色名稱	Character	캐릭명
消滅次數	Defeated	처치횟수
說明	Descpription	설명문
次類別	Subcategory	하위 카테고리
關聯特性	Attributes	관련 특성
總營收	Total Sales	총 매출
名稱遞增排序	Name A-Z	이름 올림차 순
名稱遞減排序	Name Z-A	이름 내림차 순
清除次數	Clears	클리어 횟수
地下城位置	Location	던전위치
探險	Exploration	탐험
- 建議等級	- Recommended level	- 권장레벨
- 探索率	- Exploration	- 탐색율
種類	Type	종류
狀態	Status	상태
精神 +6	SPR +6	정신 +6
冒險日誌排名	Adventure Journal Ranking	모험일지 랭킹
高地防守排名	Uphill Defense Ranking	업힐디펜스 랭킹
累積點數	Total Points	누적 포인트
地區名稱	Area	지역 이름
全部獲得	Retrieve All	모두 받기
領地戰提醒訊息	Territory Wars Alert	콜로니전 알람 메세지
目前佔領中的公會	Spot Last Seized By	현재 점령 중인 길드
佔領點數現況	Current Points	점령 포인트 현황
我的公會	My Guild	내 길드
佔領公會名稱	Protecting Guild	점령 길드 이름
登錄	Enter	등록
公會大師	Guild Master	길드 마스터
公會創建日	Founded	길드 개설일
公會成員	Members	길드원
公會資金	Funds	길드 자금
公告文	News	공지글
介紹文	Notes	소개글
貢獻度	Contribution	기여도
只查看上線人員	Show online	접속 인원만 보기
公會優惠	Benefits	길드 혜택
備註	Note	비고
中立解除通知	Neutral Status Canceled Alert	중립 해제 알람
何謂公會領地戰	What are Territory Wars	길드 콜로니전이란
是否參加	Status	참가 여부
未參加	Not Participating	미참가
佔領地區	Spot Areas	점령 지역
地區等級	Grade	지역 등급
佔領獎勵	Spot Rewards	점령보상
外部人可進場	Allow Outsiders	외부인 입장 가능
公會情報	Guild Info	길드 정보
戰爭	Wars	전쟁
領地戰	Territory Wars	콜로니전
傳達數量	Sending	전달 개수
殘餘數量	Remaining	잔여 개수
數量	Amount	수량
魔方名稱	Cube Name	큐브 이름이다
文本	Text	텍스트
地圖	Maps	맵
類型	Type	타입
道具類型	Item Type	아이템 타입
最近獲得的方法	Latest Acquisition	가장 최근에 획득한 방법
獲得處	Location	획득처
商店名	Shop Name	상점명
營收	Sales	매출
特性名	Attribute	특성명
魚名	Fish Name	물고기 이름
地域名稱	Area	지역 네임
地圖名稱	Map	맵네임
名字	Name	이름이다
任務名稱	Quest	퀘스트이름
稱號名稱	Title	칭호이름
獎勵道具	Reward	보상템
莎勒斯修女任務完成獎勵 +1	Additional +1 reward from Saalus Missions	살러스 수녀원 미션 완료 보상 +1
簽到期間	Check Period	출석 체크 기간
副本達成率	Achievement Rate	인던 달성률
重新鑑定道具	Item Re-Identification	아이템 재감정
重新鑑定	Re-Identify Item	재감정 하기
地圖名稱	Map name	맵이름
遠征隊地下城進場道具消耗數量 -2	Raid Dungeon Entry Item Consume Quantity -2	레이드 던전 입장 아이템 소모 개수 -2
