輕裝步兵大師	Peltasta Master	펠타스타 마스터
請和夏奧雷伊東邊森林的野蠻人對話。	Talk to the Barbarian Master in East Siauliai Woods	샤울레이 동쪽 숲의 바바리안과 대화해 보세요.
消滅大教堂正殿的石鯨 	Defeat Yekubs in the main chamber of the Great Cathedral	대성당 본당의 예쿱 처치
向野蠻人大師報告	Report to the Barbarian Master	바바리안 마스터에게 보고
消滅耶庫	Defeat Yekub	예쿱 처치
尋訪侍從大師	Meet the Squire Master	스콰이어 마스터 찾아가기
請和佩迪米安的侍從大師對話。	Talk to the Squire Master in Fedimian	페디미안에 있는 스콰이어 마스터와 대화해 보세요.
使用捆索繩	Use the tie rope	포박 포승줄 사용하기
回去找侍從大師	Return to the Squire Master	스콰이어 마스터에게 돌아가기
尋訪百夫長大師	Meet the Centurion Master	센츄리온 마스터 찾아가기
請去拜訪大餓鬼路上的百夫長大師。	Meet the Centurion Master at Starving Demon's Way	큰아귀 길에 있는 센츄리온 마스터를 찾아 가세요.
消滅增岩森林的曼陀花獸	Defeat Colimencia in Layered Rock Forest	점층바위 숲의 콜리멘시아 처치
回去找百夫長大師	Return to the Centurion Master	센츄리온 마스터에게 돌아가기
消滅曼陀花獸	Defeat Colimencia	콜리멘시아 처치
弓箭手大師的呼喚	Call of the Archer Master	아처 마스터의 부름
到柯拉佩達，弓箭手大師正在找你。	Call of the Archer Master	클라페다에 있는 아처 마스터가 당신을 찾고 있습니다
消滅露克立斯街道的斯帕娜史霍	The Archer Master in Klaipeda is looking for you	루클리스 거리의 스파나스혼 처치
弓箭手大師說需要評估你的能力。請在露克立斯街道消滅斯帕娜史霍後回去找弓箭手大師	Defeat Sparnashorn in Ruklys Street	아처 마스터는 기량을 잴 수 있는 것이 필요하다고 합니다. 루클리스 거리에서 스파나스혼을 처치하고 아처 마스터에게 돌아가세요
消滅斯帕娜史霍	Defeat Sparnashorn	스파나스혼 처치
遊俠大師的呼喚	Call of the Ranger Master	레인저 마스터의 부름
到柯拉佩達，遊俠大師正在找你。	The Ranger Master in Klaipeda is looking for you	클라페다의 레인저 마스터가 당신을 찾고 있습니다
消滅冷清市集的地心蟲王	Defeat Reaverpede in Lonesome Marketplace	스산한 장터의 리버피드 처치
消滅地心蟲王	Defeat Reaverpede	리버피드 처치
弩箭手大師的呼喚	Call of the Quarrel Shooter Master	쿼렐슈터 마스터의 부름
到柯拉佩達，弩箭手大師正在找你。	The Quarrel Shooter Master in Klaipeda is looking for you	클라페다에 있는 쿼렐슈터 마스터가 당신을 찾고 있습니다
消滅市中心街道的神殿射手	Defeat the Templeshooter of Town Center	중심시가의 템플슈터 처치
向弩箭手大師	Report to the Quarrel Shooter Master	쿼렐슈터 마스터에게 보고
射殺神殿射手	Defeat Templeshooter	템플슈터 사살
工兵大師的呼喚	Call of the Sapper Master	새퍼 마스터의 부름
獲得天然瑪瑙石	Obtained Natural Mano Stones	천연 마노석 획득
獵人大師的呼喚	Call of the Hunter Master	헌터 마스터의 부름
到夏奧雷伊東邊森林，獵人大師正在找你。	The Hunter Master in East Siauliai Woods is looking for you	샤울레이 동쪽 숲에서 헌터 마스터가 당신을 찾고 있습니다
於冷清市集中消滅大量牛頭人	Defeat frantic Minotaur in Lonesome Marketplace	스산한 장터에서 흥분한 미노타우르스 처치
交給獵人大師	Hand it over to the Hunter Master	헌터 마스터에게 전달
獲得巨大獠牙	Obtain the gigantic canine	거대한 송곳니 획득
巫蠱師大師的呼喚	Call of the Wugushi Master	무고사 마스터의 부름
到佩迪米安，巫蠱師大師正在找你。	The Wugushi Master in Fedimian is looking for you	페디미안의 무고사 마스터가 당신을 찾고 있습니다
消滅市中心街道的拉查托特	Defeat Rajatoad in the central district	중심시가의 라자토드 처치
向巫蠱師大師報告	Report back to the Wugushi Master	무고사 마스터에게 보고
斥候大師的呼喚	The Call of the Scout Master	스카우트 마스터의 부름
消滅露克立斯街道的鐵甲僵屍 	Defeat Deadborn in Ruklys Street	루클리스 거리의 데드본 처치
向斥候大師報告	Report to the Scout Master	스카우트 마스터에게 보고
流氓大師的呼喚	Call of the Rogue Master	로그 마스터의 부름
請去找佩迪米安的流氓大師。	Go to the Rogue Master in Fedimian	페디미안의 로그 마스터를 찾아 가세요.
和流氓大師對決	Duel with the Rogue Master	로그 마스터와 대련
與流氓大師對話	Talk to the Rogue Master	로그 마스터와 대화
戰勝流氓大師	Dominate the Rogue Master	로그 마스터 제압
造箭者大師的呼喚	The Call of the Fletcher Master	플레쳐 마스터의 부름
收集易燃石	Collect the well burnable stones	잘 타는 돌멩이 수집
收集易燃石頭	Collect flammable stones	잘 타는 돌맹이 수집
黑暗騎兵大師的呼喚	Call of the Schwarzer Reiter Master	슈바르츠라이터 마스터의 부름
到加橋森林，黑暗騎兵大師正在找你。	The Schwarzer Reiter Master is looking for you at Woods of Attached Bridge	덧댄다리 숲에 있는 슈바르츠라이터 마스터가 당신을 찾고 있습니다
和黑暗騎兵大師練習對決	Duel against Schwarzer Reiter Master	슈바르츠라이터 마스터와 대련
與黑暗騎兵大師對話	Talk to the Schwarzer Reiter Master	슈바르츠라이터 마스터와 대화
黑暗騎兵的認可	Acknowledgement of Schwarzer Reiter	슈바르츠라이터의 인정
尋訪牧師大師	Go to the Cleric Master	클레릭 마스터 찾아가기
請去找柯拉佩達的牧師大師對話。	Go and talk to the Cleric Master in Klaipeda	클라페다에 있는 클레릭 마스터를 찾아 대화해 보세요.
在冷清市集尋找野花花蕊	Obtain Wildflower Stamen from Lonesome Marketplace	스산한 장터에서 야생화 꽃술 구하기
回去找牧師大師	Return to the Cleric Master	클레릭 마스터에게 돌아가기
野花花蕊	Wildflower Stamen	야생화 꽃술
在市中心街道回收遺失的聖物	Retrieve the lost Holy Materials in the Town Center	중심 시가에서 잃어버린 성물 회수
交給聖火祭司大師	Deliver it to the Krivis Master	크리비 마스터에게 전달
消滅毒魔蛙圖圖	Defeat Tutu	투투 처치
勘查露克立斯街道	Search the Ruklys Street	루클리스 거리 탐색
清除邪惡氣息的根源	Remove the Source of Evil Aura	사악한 기운의 근원 처치
獲取冷清市集的石鯨怪的精髓	Obtain the essences of the petrified whales from Lonesome Marketplace	스산한 장터에서 석화고래의 정수 획득
交給邪靈祭司大師	Deliver it to the Bokor Master	보코르 마스터에게 전달
請去拜訪瑪凌波石窟的雕刻家泰斯拉。	Meet the Sculptor Tesla in Rhombuspaving Dale	마름포석골에 있는 조각가 테슬라를 찾아가세요.
在市中心街道取得雕刻材料	Get piece materials from town center	중심시가에서 조각 재료 구하기
請交給雕刻家泰斯拉	Give it to Sculptor Tesla	조각가 테슬라에게 전달
尋找材料	Find the Materials	재료 찾기
去拜訪佩迪米安的聖者大師	Meet the Sadhu Master in Fedimian	페디미안에 있는 사두 마스터를 찾아가세요.
找出惡夢的原因並消除	Find the source of the nightmare and eliminate it	악몽의 근원을 찾아서 제거
消滅妨礙睡眠的惡靈君主	Defeat the Specter Monarch that was the source of the nightmares	수면을 방해하는 스펙터 군주 처치
請去拜訪玉光懸崖的聖殿十字軍 大師。	Meet the Paladin Master in Emerald Bluffs	옥빛서린 벼랑에 있는 팔라딘 마스터를 찾아가세요.
消滅冷清市集的魔鬼鰩	Defeat Rajapearl in Lonesome Marketplace	스산한 장터의 라자펄 처치하기
消滅魔鬼鰩	Defeat Rajapearl	라자펄 처치
與武僧大師對話	Talk to the Monk Master	몽크 마스터와 대화
到棲身的樹木山溝找武僧大師。	Find the Monk Master in Remaining Tree Dale	머무르는 나뭇골에 있는 몽크 마스터를 찾아가세요.
消滅市中心街道的雷普斯並取得雷普斯的腳指甲	Defeat Lepus in the central district and obtain the toe nails of Lepus	중심시가의 레푸스를 처치하고 레푸스의 발톱 획득
交給武僧大師	Give it to the Monk Master	몽크 마스터에게 전달
消滅敏捷的雷普斯	Defeat Quick Lepus	재빠른 레푸스 처치
與寬恕者大師對話	Talk to the Pardoner Master	파드너 마스터와 대화
請去拜訪水晶小溪的寬恕者大師。	Meet the Pardoner Master in Crystal Brook	수정개울에 있는 파드너 마스터를 찾아가세요.
找回遺失的免死牌巨款	Get back the lost payment of indulgence	잃어버린 면죄부의 대금 되찾기
交給寬恕者大師	Give it to the Pardoner Master	파드너 마스터에게 전달
消滅突然出現的巨眼丹提	Defeat Denoptics that suddenly appeared	갑자기 나타난 덴옵틱 처치
神諭師大師的呼喚	Call of the Oracle Master	오라클 마스터의 부름
和神諭師大師對決	Duel with the Oracle Master	오라클 마스터와의 대련
與神諭師大師對話	Talk to the Oracle Master	오라클 마스터와 대화
得到神諭師大師的認同	Earn Recognition of the Oracle Master	오라클 마스터에게 인정받기
請去找柯拉佩達的邪靈祭司大師。	Go to the Bokor Master in Klaipeda	클라페다의 보코르 마스터에게 찾아가세요.
製作邪靈祭司人偶	Make Bokor Doll	보코르 인형 제작
 按下按鍵進入休息模式後 	Press the key to go into the Rest Mode	 키를 눌러 휴식모드 후 
請按S鍵開始製作邪靈祭司玩偶	Craft Bokor Doll by pressing S key	S 키를 눌러 보코르 인형 제작
向邪靈祭司大師報告	Report to the Bokor Master	보코르 마스터에게 보고
請去找柯拉佩達的輕裝步兵大師。	Go to the Peltasta Master in Klaipeda	클라페다에 있는 펠타스타 마스터를 찾아가세요.
消滅水晶礦山1層的布貝	Defeat the Vubbes in Crystal Mine 1F	수정광산 1층의 부베 처치
消滅水晶礦山1層的布貝	Defeat the Vubbes in Crystal Mine 1F	수정광산 1층에서 부베 처치
消滅水晶礦山1層的布貝	Defeat the Vubbes in Crystal Mine 1F	수정광산1층의 부베처치
幫助邪靈祭司大師的研究	Help with the Bokor Master's research	보코르 마스터의 연구 돕기
被召喚的惡靈	Summoned Evil	소환된 악령
開啟烈焰法師大師的箱子	Open the Pyromancer Master's Box	파이로맨서 마스터의 상자 열기
向寒冰法師大師報告	Report to the Cryomancer Master	크리오맨서 마스터에게 보고
消滅契約守護者	Defeat the Guardian of Contract	계약의 수호자 처치
尋訪大餓鬼路的百夫長大師	Go to the Centurion Master in Starving Demons' Road	큰아귀길에 있는 센츄리온 마스터 찾아가기
挖採尼扣堤亞的嫩芽	Dig the young shoot of Nicotia	니코티아의 어린 순 캐기
消滅擋在藥草產地前的比特雷巨蜂	Defeat the Biteregina blocking medicinal herb's habitat	약초 자생지 앞을 막고 있는 비테레지나 처치
挖採藥草	Collect medicinal herbs	약초 캐기
與聖火祭司大師見面	Meet the Krivis Master	크리비 마스터 만나기
請去找柯拉佩達的聖火祭司大師。	Go to the Krivis Master in Klaipeda	클라페다에 있는 크리비 마스터를 찾아 가세요.
與聖水祭司大師見面	Meet the Priest Master	프리스트 마스터 만나기
幫助聖水祭司大師的工作	Help the Priest Master's work	프리스트 마스터의 일 도와주기
與牧師大師見面	Meet with the Cleric Master	클레릭 마스터 만나기
參拜佩迪米安的女神像	Worship the Goddess Statue in Fedimian	페디미안의 여신상에 경배하기
向聖火祭司大師報告	Report to the Krivis Master	크리비 마스터에게 보고
祛除邪惡的氣息	Defeat the evil force	사악한 기운 물리치기
與邪靈祭司大師見面	Meet the Bokor Master	보코르 마스터 만나기
請去找柯拉佩達的邪靈祭司大師。	Go to the Bokor Master in Klaipeda	클라페다의 보코르 마스터를 찾아 가세요.
向聖火祭司大師取得寶石	Get the jewel from the Krivis Master	크리비 마스터에게 보석 받아 오기
回去找邪靈祭司大師	Return to the Bokor Master	보코르 마스터에게 돌아가기
與雕刻家泰斯拉見面	Meet with Sculptor Tesla	조각가 테슬라 만나기
與瑪凌波石窟的雕刻家泰斯拉對話。	Talk to Sculptor Tesla in Rhombuspaving Dale	마름포석골에 있는 조각가 테슬라와 대화해 보세요.
向牧師大師取得香油	Receive balm from the Cleric Master	클레릭 마스터에게 향유 받기
向聖火祭司大師取得香油	Get balm from the Krivis Master	크리비 마스터에게 향유 받기
向聖水祭司大師取得香油	Receive balm from the Priest Master	프리스트 마스터에게 향유 받기
向邪靈祭司大師取得香油	Receive balm from the Bokor Master	보코르 마스터에게 향유 받기
修整佩迪米安與柯拉佩達的女神像	Restore the Goddess Statues in Fedimian and Klaipeda	페디미안과 클라페다에 있는 여신상 보수하기
向雕刻家泰斯拉報告	Report to Tesla	조각가 테슬라에게 보고
與聖者大師見面	Meet the Sadhu master	사두 마스터 만나기
請與佩迪米安的聖者大師對話。	Talk to the Sadhu Master in Fedimian	페디미안에 있는 사두 마스터와 대화해 보세요.
消滅大餓鬼路的怪物	Defeat Monsters in Starving Demon's Way	큰아귀 길의 몬스터 퇴치
聖者大師要求你幫忙消滅在大餓鬼路上威脅居民的怪物們。	The Sadhu Master asked you to defeat the monsters that are threatening the villagers in Starving Demon's Way	사두 마스터는 큰 아귀 길에서 주민들을 위협하는 몬스터들을 퇴치해 달라고 합니다.
向聖者大師報告	Report to the Sadhu master	사두 마스터에게 보고
消滅大餓鬼路上的怪物	Defeat Monsters in Starving Demon's Way	큰 아귀 길의 몬스터 처치
請去找玉光懸崖的聖殿十字軍大師。	Go to the Paladin Master in Emerald Bluffs	옥빛 서린 벼랑에 있는 팔라딘 마스터를 찾아 가세요.
和聖殿十字軍大師對決	Duel with the Paladin Master	팔라딘 마스터와 대련
通過聖殿十字軍大師的對決考驗	Pass the duel test with the Paladin Master	팔라딘 마스터의 대련 테스트 통과
與武僧大師見面	Meet the Monk Master	몽크 마스터 만나기
到棲身的樹木山溝和武僧大師對話。	Talk with the Monk Master in Remaining Tree Dale	머무르는 나뭇골에 있는 몽크 마스터와 대화하세요.
和武僧大師對決	Duel with the Monk Master	몽크 마스터와 대련
通過武僧大師的考驗	Pass the Monk Master's test	몽크 마스터의 테스트 통과
與寬恕者大師見面	Meet the Pardoner Master	파드너 마스터 만나기
去見佩迪米安的裝備商人	Meet the Equipment Merchant in Fedimian	페디미안의 장비상인 만나러 가기
拜訪佩迪米安道具商人	Meet the Item Merchant in Fedimian	페디미안 도구상인 만나기
獲得火甕	Acquired Fire Pot	불항아리 획득
消滅魔斯怪	Defeat Mothstem	모스템 처치
與佩迪米安的裝備商人對話	Talk to Equipment Merchant in Fedimian	페디미안의 장비상인과 대화
收集大餓鬼路的凝固油	Collect the condensed oil from Starving Demon's Way	큰아귀 길에서 굳은 기름 수집
交給佩迪米安的裝備商人	Give it to the Equipment Merchant in Fedimian	페디미안의 장비상인에게 전달
消除夏奧雷伊西邊森林的危險	Remove the threats of West Siauliai Woods	샤울레이 서쪽 숲의 위험 제거
解除破旗森林的危險	Eliminate the danger in Sunset Flag Forest	해진깃발숲의 위험 제거
消滅夏奧雷伊東邊森林的波亞塔	Defeat the Poata in East Siauliai Woods	샤울레이 동쪽 숲의 포아타 처치
消滅夏奧雷伊西邊森林的蘑菇卡利亞	Defeat the Mushcaria in West Siauliai Woods	샤울레이 서쪽 숲의 머슈카리아 처치
消滅夏奧雷伊礦山村莊的赤紅布貝鬥士	Defeat the Vubbe Fighter at the Miners' Village	샤울레이 광산 마을의 붉은 부베 투사 처치
向念力法師大師報告	Report to Psychokino master	사이코키노 마스터에게 보고
消滅赤紅布貝鬥士	Defeat Red Vubbe Fighter	붉은 부베 투사 처치
消滅夏奧雷伊東邊森林的非凡的布貝鬥士	Defeat the unusual Vubbe Fighter in East Siauliai Woods	샤울레이 동쪽 숲의 비범한 부베 투사 처치
向鎖鏈法師大師報告	Report to the Linker Master	링커 마스터에게 보고
消滅非凡的布貝鬥士	Defeat the unusual Vubbe Fighter	비범한 부베 투사 처치
消滅魔法師之塔1層的燃燒的火焰蜥蜴王	Defeat the Flaming Salamander in Mage Tower 1F	마법사의 탑 1층의 타오르는 셀러맨더 처치
向奇術師大師報告	Report to the Thaumaturge Master	쏘마터지 마스터에게 보고
為了元素使大師的試驗，請到棲身的樹木山溝消滅地心蟲王。	Defeat Reaverpede in Remaining Tree Dale for the test of the Elementalist Master	엘레멘탈리스트 마스터의 시험을 위해 머무르는 나뭇골의 리버피드를 처치하세요.
向元素使大師報告	Report to the Elementalist Master	엘레멘탈리스트 마스터에게 보고
請去拜訪水晶小溪的巫師大師。	Meet the Sorcerer Master in Crystal Brook	수정 개울의 소서러 마스터를 찾아 가세요.
消滅水晶小溪的惡魔葛洛夫	Defeat Devilglove in Crystal Brook	수정개울의 데블글로브 처치
向巫師大師報告	Report to the Sorcerer Master	소서러 마스터에게 보고
到大餓鬼路和死靈法師大師對話。	Talk with the Necromancer Master in Starving Demon's Way	큰아귀 길의 네크로맨서 마스터와 대화하세요.
收集大餓鬼路的怪物屍體	Collect the corpses of monsters in Starving Demon's Way	큰 아귀 길의 몬스터 사체 수집
轉交屍體給死靈法師大師	Hand over the corpses to the Necromancer Master	네크로맨서 마스터에게 사체 전달
請去找柯拉佩達的劍士大師。	Go to the Swordsman Master in Klaipeda	클라페다의 소드맨 마스터를 찾아 가세요.
消滅晴嵐森林的鬼眼蜘蛛 	Defeat Honeypin at Deep Indigo Forest	청람머문 숲의 허니핀 처치
請去找柯拉佩達的輕裝步兵大師。	Go to the Peltasta Master in Klaipeda	클라페다의 펠타스타 마스터를 찾아 가세요.
消滅無花森林的魔龍凱拉斯	Defeat Gaigalas in Flowerless Forest	꽃모자른 숲의 가이갈라스 처치
消滅魔龍凱拉斯	Defeat Gaigalas	가이갈라스 처치
請去找夏奧雷伊東邊森林的野蠻人大師。	Go to the Barbarian Master in East Siauliai Woods	샤울레이 동쪽 숲의 바바리안 마스터를 찾아 가세요.
消滅增岩森林的波亞塔	Meet the Barbarian Master at East Siauliai Woods	점층바위 숲의 포아타 처치
請去找佩迪米安的侍從大師。	Go to the Squire Master in Fedimian	페디미안의 스콰이어 마스터를 찾아 가세요.
請消滅波亞塔尋找家門的紋章	Defeate Poata and find the seal of family	포아타를 처치하여 가문의 문장 찾기
向侍從大師報告	Report to the Squire Master	스콰이어 마스터에게 보고
獲得勒肯家門的裝飾	Acquire the ornament of the Legwyn Family	르귄가문의 장식 획득
和海賊大師對話	Talk to the Corsair Master	커세어 마스터와 대화
去找大餓鬼路的海賊大師。	Meet the Squire Master in Starving Demon's Way	큰아귀 길의 커세어 마스터를 찾아 가세요.
向海賊大師報告	Report to the Corsair Master	커세어 마스터에게 보고
和雙酬傭兵大師對話	Talk to the Doppelsoeldner Master	도펠죌트너 마스터와 대화
請向雙酬傭兵大師報告	Report to the Doppelsoeldner Master	도펠죌트너 마스터에게 보고
與時空法師大師對話	Talk to the Chronomancer Master	크로노맨서 마스터와 대화
到棲身的樹木山溝消滅地心蟲王	Defeat Reaverpede in Remaining Tree Dale	머무르는 나뭇골의 리버피드 처치
向時空法師大師報告	Report to the Chronomancer Master	크로노맨서 마스터에게 보고
與法師大師見面	Meet the Wizard Master	위저드 마스터 만나기
請與柯拉佩達的法師大師見面	Meet the Wizard Master in Klaipeda	클라페다에 있는 위저드 마스터를 만나세요
消滅夏奧雷伊東邊森林的鋼鐵巴溫	Defeat Ironbaum in East Siauliai Woods	샤울레이 동쪽 숲의 아이언바움 처치
與烈焰法師大師見面	Meet the Pyromancer Master	파이로맨서 마스터 만나기
請和柯拉佩達的烈焰法師大師見面	Meet the Pyromancer Master in Klaipeda	클라페다에 있는 파이로맨서 마스터를 만나세요
與寒冰法師大師見面	Meet the Cryomancer Master	크리오맨서 마스터 만나기
請和柯拉佩達的寒冰法師大師見面	Meet the Cryomancer Master in Klaipeda	클라페다에 있는 크리오맨서 마스터를 만나세요
與念力法師大師見面	Meet the Psychokino Master	사이코키노 마스터 만나기
請去見夏奧雷伊礦山村莊的念力法師大師	Meet the Psychokino Master at the Miners' Village	샤울레이 광산 마을의 사이코키노 마스터를 만나세요
消滅夏奧雷伊礦山村莊的狼人	Defeat the Werewolf at the Miners' Village	사울레이 광산 마을의 웨어울프 처치
與鎖鏈法師大師見面	Meet the Linker Master	링커 마스터 만나기
請去見夏奧雷伊礦山村莊的鎖鏈法師大師	Meet the Linker Master in Siauliai Miners' Village	샤울레이 광산 마을의 링커 마스터를 만나세요
消滅夏奧雷伊礦山村莊的狼人	Defeat Werewolf in Siauliai Miners' Village	샤울레이 광산 마을의 웨어울프 처치
與奇術師大師見面	Meet the Thaumaturge Master	쏘마터지 마스터 만나기
到佩迪米安和奇術師大師見面。	Meet the Thaumaturge Master in Fedimian	페디미안에 있는 쏘마터지 마스터를 만나세요.
在斷層地消滅尼多普巴伊	Defeat Netherbovine at Faultline	단층지에서 네더보바인을 처치
和元素使大師見面	Meet the Elementalist Master	엘레멘탈리스트 마스터 만나기
到佩迪米安和元素使大師見面。	Meet the Elementalist Master in Fedimian	페디미안에 있는 엘레멘탈리스트 마스터를 만나세요.
消滅斷層地的尼多普巴伊	Defeat Netherbovine in Faultline	단층지의 네더보바인 처치
與巫師大師見面	Meet the Sorcerer Master	소서러 마스터 만나기
到水晶小溪和巫師大師見面。	Meet the Sorcerer Master in Crystal Brook	수정개울에 있는 소서러 마스터를 만나세요
與時空法師大師見面	Meet the Chronomancer Master	크로노맨서 마스터 만나기
到高根路和時空法師大師見面。	Meet the Chronomancer Master in High Crooked Road	높이굽은 길에 있는 크로노맨서 마스터를 만나세요
與拜杜塔斯見面	Meet Vaidotas	바이도타스 만나기
向拜杜塔斯報告	Report to Vaidotas	바이도타스에게 보고
在水晶礦山1層尋找鏡片	Find the lens in Crystal Mine 1F	수정광산 1층에서 렌즈 찾기
請去找柯拉佩達的遊俠大師。	Go to the Ranger Master in Klaipeda	클라페다에 있는 레인저 마스터를 찾아 가세요.
收集蝙蝠毒樣本	Collect Bat Venom Sample	박쥐의 독 견본 수집
還沒向獵人大師取得葛利查頓的堅韌皮革嗎？	The tough leather of Glizardon from the Hunter Master has not arrived yet?	헌터 마스터에게서 글리자돈의 질긴 가죽은 아직인가?
還沒向弓箭手大師取得葛利查頓的堅韌皮革嗎？	The tough leather of Glizardon from the Archer Master has not arrived yet?	아처 마스터에게서 글리자돈의 질긴 가죽은 아직인가?
詢問我該做什麼才好。	Ask what you should do	무엇을 하면 되는지 묻는다
我沒有義務那麼做	I am not responsible to do it	그럴 의무는 없다고 한다
安靜的探訪者[遊俠轉職](1)	The Silent Investigator [Ranger Advancement] (1)	조용한 탐문자[레인저 전직](1)
安靜的探訪者[遊俠轉職](2)	The Silent Investigator [Ranger Advancement] (2)	조용한 탐문자[레인저 전직](2)
成為魔法師的方法[元素使轉職]	The Way to Become A Wizard [Elementalist]	마법사가 되는 방법[엘리멘탈리스트 전직]
我要挑戰	Tell him you would challenge for it	도전하겠다고 한다
太危險了	Tell him its too dangerous	너무 위험하다고 한다
我願意帶回易燃石材	I will bring burnable woods	잘 타는 석재를 구해 오겠다고 한다
得到人心的事[聖者轉職]	The Task of Gaining the Mind [Sadhu]	마음을 얻는 일[사두 전직]
詢問我要做什麼。	Ask what to do	무엇을 해야 하는지 묻는다
好像沒什麼幫助	Tell him it won't be helpful	별로 도움될 것 같지 않다고 한다
考驗很重要[元素使轉職]	An Important Test [Elementalist]	시험은 중요해[엘리멘탈리스트 전직]
好像很危險，我拒絕	Decline since it seems too dangerous	위험할 것 같으니 거절하자
詢問是什麼禮物。	Ask what the gift is	어떤 선물인지 묻는다
完成元素使的任務[元素使轉職]	Completing the Elementalist's Mission [Elementalist Advancement]	엘리멘탈리스트의 임무 완수[엘리멘탈리스트 전직]
在貝雅山谷收集圖約勒的花蕊	Collect the flower alcohol of Doyor from Veja Ravine	베야 골짜기에서 도요르의 꽃술 수집
圖約勒的花蕊	Flower Alcohol of Doyor	도요르의 꽃술
寇利羅斯之核	Corylus Core	코릴러스의 핵
卡露克的血	Galok Blood	갈록의 피
收集葛利查頓的堅韌皮革	Collect the touch leather of Glizardon	글리자돈의 질긴 가죽 수집
