輕裝步兵大師	Peltasta Master	펠타스타 마스터
把葛利查頓的堅韌皮革交給弩箭手大師	Hand over Glizardon's tough leather to Quarrel Shooter Master	쿼렐슈터 마스터에게 글리자돈의 질긴 가죽 전달
請去找夏奧雷伊西邊森林的雕刻家泰斯拉。	Meet Sculptor Tesla at West Siauliai Woods	샤울레이 서쪽 숲의 조각가 테슬라에게 찾아가세요.
從草伽藍址的提皮歐那裡取得粗糙樹皮	Obtain the coarse tree barks from Tipios in Grass Riverside	풀가람터의 티피오에게서 성긴 나무 껍질 획득
科博爾特森林	Cobalt Forest	코발트 숲
交給柯拉佩達的輕裝步兵大師	Hand them over to the Peltasta Master in Klaipeda	클라페다의 펠타스타 마스터에게 전달
到貝雅山谷收集畢托爾的腳指甲	Collect Beetow toe nails from Veja Ravine	베야 골짜기에서 비토우의 발톱 수집
交給高地戰士大師	Hand them over to the Highlander Master	하이랜더 마스터에게 전달
畢托爾的腳指甲	The toe nails of Beetow	비토우의 발톱
消滅貝雅山谷的畢托爾	Defeat Beetow at Veja Ravine	베야 골짜기의 비토우 처치
消滅畢托爾	Defeat Beetow	비토우 처지
在關口路收集魔族的精髓	Collect the Demon Essences at Gate Route	관문로에서 마족의 정수 수집
在史爾特凱拉森林尋找地圖	Find the map at Sirdgela Forest	시르드겔라 숲에서 지도 찾기
尋訪聖者大師	Meet the Sadhu Master	사두 마스터를 찾아가기
與元素使大師對話	Talk to the Elementalist Master	엘리멘탈리스트 마스터와 대화
在史爾特凱拉森林尋找艾保尼風的蹤跡	Look for the traces of Evoniphon at Sirdgela Forest	시르드겔라 숲에서 에보니폰 흔적 찾기
吞吐利亞的易燃汁液	Burnable Juice of Tontulia	톤투리아의 잘 타는 즙
交給工兵大師	Hand them over to the Sapper Master	새퍼 마스터에게 전달
請去找夏奧雷伊西邊森林的雕刻家泰斯拉。	Meet the Sculptor Tesla at the West Siauliai Woods	샤울레이 서쪽 숲에 있는 조각가 테슬라를 찾아 가세요.
到史爾特凱拉森林尋找道具商人的父親	Look for the father of the Equipment Merchant at Sirdgela Forest	시르드겔라 숲에서 도구상인의 아버지 찾기
前往拉姆斯堤斯峽谷放置太陽之甕	Put the pot of the sun at Ramstis Ridge	람스티스 협곡으로 가서 태양의 항아리 놓기
消滅比爾塔溪谷的史潘飛行獸人	Defeat Sparnasman at Vieta Gorge	비에타 계곡의 스파나스맨 처치
消滅拉姆斯堤斯峽谷的死靈查普利	Defeat Chapparition at Ramstis Ridge	람스티스 협곡의 채퍼리션 처치
在拉姆斯堤斯峽谷收集魔法研究資料	Obtain the magic research materials at Ramstis Ridge	람스티스 협곡에서 마법 연구 자료 모으기
執行元素使大師的任務	Complete the assignments of the Elementalist Master	엘리멘탈리스트 마스터의 과제 수행
把任務交給元素使大師	Hand over the assignments to the Elementalist Master	엘리멘탈리스트 마스터에게 과제 전달
請消滅比爾塔溪谷的史潘飛行獸人，向鐵甲騎兵大師證明自己的能耐。	Defeat Sparnasman at Vieta Gorge to prove your skills to the Cataphract Master	캐터프랙트 마스터에게 비에타 계곡에 있는 스파나스맨을 처치하여 실력을 증명하세요.
在佩迪米安外城消滅莫厄	Defeat Moas at Fedimian Suburbs	페디미안 외곽에서 모아 처치
請去找阿克梅斯山脊的海賊大師。	Meet the Corsair Master at Akmens Ridge	아크멘스 능선에 있는 커세어 마스터를 찾아가세요.
請去找大王關口的圓盾劍士大師。	Meet the Rodelero Master at the Gateway of the Great King	대왕의 관문에 있는 로델레로 마스터를 찾아 가세요.
尋訪艾沙奇烏村莊的造箭者大師	Find the Fletcher Master at Escanciu Village	에산치우 마을의 플레쳐 마스터 찾아가기
到艾沙奇烏村莊找造箭者大師。	Find the Fletcher Master at Escanciu Village	에산치우 마을에 있는 플레쳐 마스터를 찾아 가세요.
使用誘餌狩獵3種怪物	Hunt for 3 kinds of monsters using baits	미끼를 사용하여 몬스터 3종 사냥
卡汀森林入口的野蜘蛛	Bushspiders at the entrance of Kateen Forest	카틴 숲 입구의 크루마보
貓頭鷹之墓的艾洛瑪庫	Ellomagos at the Owl Burial Ground	매너클 묘지의 엘로마고
波塞林奇斯森林的綠色獠牙豬	Green Pokuborns at Poslinkis Forest	포슬린키스 숲의 초록 포쿠본
向大黃蜂收集合成毒	Collect the synthesized poison from Bites	바이트에게서 합성독 수집
用閃光彈偵測躲藏的怪物並將之消滅	Find the hidden monsters using flash bombs and defeat them	섬광탄으로 숨어있는 몬스터를 탐지하여 처치
消滅探知到的怪物	Defeat the detected monsters	탐지된 몬스터 처치
消滅貓頭鷹之墓的鬼影凱伊洛	Defeat Shadowgaler at the Owl Burial Ground	매너클 묘지의 섀도게일러 처치
消滅貓頭鷹之墓的耶庫	Defeat Yekub at Owl Burial Ground	매너클 묘지의 예쿱 처치
消滅克林卡的莊園的曼陀花獸	Defeat Colimencia	그린가의 장원의 콜리멘시아 처치
消滅路克索那市場的地心蟲王	Defeat Reaverpede at Roxona Marketplace	록소나 장터의 리버피드 처치
在路克索那市場消滅興奮的米諾牛頭怪	Defeat Minotaur at Roxona Marketplace	록소나 장터에서 흥분한 미노타우르스 처치
到堤塔斯峽谷，巫蠱師大師正在找你。	The Wugushi Master at Tiltas Valley is looking for you	틸타스 협곡의 무고사 마스터가 당신을 찾고 있습니다
消滅魔族收監所第1區的拉查托特	Defeat Rajatoad at the 1st zone of the Demon Prison	마족수감소 1구역의 라자토드 처치
到長橋溪谷，斥候大師正在找你。	The Scout Master at Overlong Bridge Valley is waiting for you	긴다리 계곡의 스카우트 마스터가 당신을 찾고 있습니다
消滅魔族收監所第1區的鐵甲僵屍	Defeat Deadborn at the 1st zone of the Demon Prison	마족수감소 1구역의 데드본 처치
到艾沙奇烏村莊，造箭者大師正在找你。	The Fletcher Master of Escanciu Village is looking for you	에산치우 마을의 플레쳐 마스터가 당신을 찾고 있습니다
收集易燃石材	Collect the burnable wood coals	잘 타는 석재 수집
到石橋亡地，黑暗騎兵大師正在找你。	The Schwarzer Reiter Master at Awating Stone Bridge is looking for you	돌다리 망터에 있는 슈바르츠라이터 마스터가 당신을 찾고 있습니다
向黑暗騎兵大師報告	Report to the Schwarzer Reiter Master	슈바르츠라이터 마스터에게 보고
在路克索那市場取得野花花蕊	Obtain the alcohol of wild flowers at Roxona Marketplace	록소나 장터에서 야생화 꽃술 구하기
在路克索那市場獲得石鯨怪的精髓	Obtain the Essence of Stone Whale at Roxona Marketplace	록소나 장터에서 석화고래의 정수 획득
消滅特南茲農場的魔龍凱拉斯	Defeat Gaigalas at Tenants' Farm	테넌츠 농장의 가이갈라스 처치
消滅突然出現的約納喬雷	Defeat Yonazolem that suddenly appeared	갑자기 나타난 요나졸렘 처치
請和夏奧雷伊西邊森林的雕刻家泰斯拉對話。	Talk to the Sculptor Tesla at West Siauliai Woods	샤울레이 서쪽 숲에 있는 조각가 테슬라와 대화해 보세요.
請和阿克梅斯山脊的聖者大師對話。	Talk to the Sadhu Master at Akmens Ridge	아크멘스 능선에 있는 사두 마스터와 대화해 보세요.
消滅史可尼斯原野的藍色普朗基	Defeat Blue Puragi at Saknis Plains	사크니스 벌판의 푸른 푸라기 처치
消滅藍色普朗基	Defeat Blue Puragis	푸른 푸라기 처치
到艾沙奇烏村莊和武僧大師對話。	Talk to the Monk Master at Escanciu Village	에산치우 마을에 있는 몽크 마스터와 대화하세요.
在史可尼斯原野收集凝固油	Obtain the hardened oil at Saknis Plains	사크니스 벌판에서 굳은 기름 수집
清除貓頭鷹之墓的危險	Get rid of the danger at the Owl Burial Ground	매너클 묘지의 위험 제거
向元素使大師報告	Report to the Elementalist Master	엘리멘탈리스트 마스터에게 보고
消滅佩迪米安外城的惡魔葛洛夫	Defeat Devilglove at Fedimian Suburbs	페디미안 외곽의 데블글로브 처치
在大餓鬼路上尋找死靈法師大師的禮物	Find the gift of the Necromancer Master at Starving Demon's Way	큰 아귀 길에서 네크로맨서 마스터의 선물 찾기
向死靈法師大師報告禮物的事	Report about the gifts to the Necromancer Master	네크로맨서 마스터에게 선물 보고
消滅克里那斯林間小路的鬼眼蜘蛛	Defeat Honeypin at the way of Grynas Trails	그리나스 숲길의 허니핀 처치
消滅克里那斯修練場的魔龍凱拉斯	Defeat Gaigalas at Grynas Training Camp	그리나스 수련장의 가이갈라스 처치
消滅克里那斯丘陵地的曼陀花獸	Defeat Colimencia at Grynas Hills	그리나스 구릉지의 콜리멘시아 처치
消滅克里那斯丘陵地的波亞塔	Defeat Poata at Grynas Hills	그리나스 구릉지의 포아타 처치
請去找大王關口的圓盾劍士大師。	Meet the Rodelero Master at the Gateway of the Great King	대왕의 관문의 로델레로 마스터를 찾아 가세요.
消滅特南茲農場的鬼眼蜘蛛	Defeat Honeypin at Tenants' Farm	테넌츠 농장의 허니핀 처치
消滅艾沙奇烏村莊的地心蟲王	Defeat Reaverpede at Escanciu Village	에산치우 마을의 리버피드 처치
為了時空法師大師的考驗，請消滅艾沙奇烏村莊的地心蟲王。	Defeat Reaverpede of Escanciu Village to take the test of the Chronomancer Master	크로노맨서 마스터의 시험을 위해 에산치우 마을의 리버피드를 처치하세요.
在波塞林奇斯森林消滅尼多普巴伊	Defeat Netherbovine at Poslinkis Forest	포슬린키스 숲에서 네더보바인을 처치
與元素使大師見面	Meet the Elementalist Master	엘리멘탈리스트 마스터 만나기
請和阿克梅斯山脊的元素使大師見面。	Meet the Elementalist Master at Akmens Ridge	아크멘스 능선에 있는 엘리멘탈리스트 마스터를 만나세요.
消滅波塞林奇斯森林的尼多普巴伊	Defeat Netherbovine at Poslinkis Forest	포슬린키스 숲의 네더보바인 처치
請和佩迪米安外城的巫師大師見面。	Meet the Sorcerer Master at Fedimian Suburbs	페디미안 외곽에 있는 소서러 마스터를 만나세요
請和碑石路的時空法師大師見面	Meet the Chronomancer Master in Stele Road	비석로에 있는 크로노맨서 마스터를 만나세요
到謬樂斯通道和死靈法師大師對話。	Talk to the Necromancer Master at Mullers Passage	뮬러스 통로의 네크로맨서 마스터와 대화하세요.
在大餓鬼路尋找死靈法師大師的禮物	Find the gift of the Necromancer Master at Starving Demon's Way	큰아귀 길에서 네크로맨서 마스터의 선물 찾기
到碑石路和時空法師大師對話。	Talk to the Chronomancer Master at Stele Road	비석로에 있는 크로노맨서 마스터와 대화하세요.
那點錢我付得出來	I can afford it	그정도라면 낼 수 있다고 한다
我沒有那種錢	I don't have money for that	그런 돈은 없다고 한다
在泰內聖堂地上1層中的異面世界獲得書	Obtain the book from the two dimensional world in Tenet Church 1F	테넷 성당 지상 1층에 있는 이면세계에서 책 획득
在泰內聖堂地上1層的異面世界獲得書	Obtain the book from the two dimensional world in Tenet Church 1F	테넷 성당 지상 1층의 이면세계에서 책 획득
從貝雅山谷的提皮歐那裡收集粗糙樹皮	Obtain the tree barks from Tipios from Veja Ravine	베야 골짜기의 티피오에게서 성긴 나무 껍질 획득
在波塞林奇斯森林消滅消滅尼多普巴伊，獲得收集尖銳獠牙	Obtain the sharp canine by defeating Netherbovine at Poslinkis Forest	포슬린키스 숲에서 네더보바인을 처치하고 날카로운 송곳니 획득
馴鷹者大師	Falconer Master	응사 마스터
挑剔的胃口[馴鷹者轉職]	Picky Taste [Falconer Advancement]	까다로운 입맛[응사 전직]
那種麻煩的事我辦不到	I can't do such tiresome duties	그런 귀찮은 일은 못하겠다고 한다
在水晶礦山1層收集石頭歐魯卡的心臟	Obtain the heart of Stone Orca at Crystal Mine 1F	수정광산 1층에서 스톤오르카의 심장 수집
水晶礦山1層全區	Crystal Mine 1F Area	수정광산 1층 전지역
使用煙幕彈消滅怪物	Defeat monsters using smoke bombs	연막탄을 사용하고 몬스터 처치하기
到柯拉佩達，神諭師大師正在找你。	The Oracle Master is waiting for you in Klaipeda	클라페다에서 오라클 마스터가 당신을 찾고 있습니다
馴鷹者大師的呼喚	Call of the Falconer Master	응사 마스터의 부름
取得老鷹喜歡的肉	Obtain the meat that the hawk likes	매가 좋아하는 고기 구하기
與馴鷹者大師對話	Talk with the Falconer Master	응사 마스터와 대화
貝雅山谷全地區	All regions at Veja Ravine	베야 골짜기 전 지역
消滅石頭歐魯卡	Defeat Stone Orca	스톤오르카를 처치
詢問我要幫忙什麼。	What should I help you with?	도와줄 일이 무엇인지 묻는다
請告訴我	Tell me about it	말해보라고 한다
引誘中	Luring	유인 중
採集野花花蕊中	Extracting wildflower alcohol	야생화 꽃술 채집 중
Notice/空箱子	Notice/Empty Box	Notice/빈 상자입니다
沒錯	Yes	그렇다고 한다
收集賽堤尼山溝裡卡樂卡修的種子	Collect the seeds of Carcashus from Septyni Glen	셉티니 골에서 카르카슈의 씨앗 수집
在賽堤尼山溝的曼陀羅之樹身上獲取粗糙樹皮	Obtain the coarse tree barks from Mentiwood at Septyni Glen	셉티니 골의 멘티우드에게서 성긴 나무 껍질 획득
收集賽堤尼山溝中畢特羅斯的腳趾甲	Collect the toe nails of Biteroses at Septyni Glen	셉티니 골에서 비테로스의 발톱 수집
賽堤尼山溝全區	All regions in Septyni Glen	셉티니 골 전 지역
畢特羅斯的腳指甲	The toe nails of Biteroses	비테로스의 발톱
消滅賽堤尼山溝的卡樂卡修	Defeat Carcashus at Septyni Glen	셉티니 골의 카르카슈 처치
請和大王關口的巫蠱師大師對話。	Talk to the Wugushi Master in Gateway of Great King	대왕의 관문에 있는 무고사 마스터와 대화해 보세요.
向夏奧雷伊礦山村莊的布貝收集綠色膏藥	Collect Green Ointments from Vubbes in Siauliai Miners' Village	샤울레이 광산 마을의 부베에게서 녹색 고약 수집
請去找女神的古院的造箭者大師。	Go to the Fletcher Master in Goddess' Ancient Garden	여신의 옛뜰에 있는 플레쳐 마스터를 찾아 가세요.
獵捕各地的怪物3種	Hunt for 3 kinds of monsters in various regions	다양한 지역의 몬스터 3종 사냥
請去找大王關口的巫蠱師大師。	Go to the Wugushi Master in Gateway to Great King	대왕의 관문에 있는 무고사 마스터를 찾아 가세요.
請去找大王關口的斥候大師。	Go to the Scout Master in Gateway to Great King	대왕의 관문에 있는 스카우트 마스터를 찾아 가 보세요.
請去找祈願森林的百夫長大師。	Go to the Centurion Master in Forest of Prayer	기원의 숲에 있는 센츄리온 마스터를 찾아 가세요.
請去找女神的古院的武僧大師。	Go to the Monk Master in Goddess' Ancient Garden	여신의 옛뜰에 있는 몽크 마스터를 찾아가세요.
向波塞林奇斯森林的尼多普巴伊收集尖銳獠牙	Collect a Sharp Canine from Netherbovine at Poslinkis Forest	포슬린키스 숲의 네더보바인에게서 날카로운 송곳니 수집
請去找阿克梅斯山脊的寬恕者大師。	Go to the Pardoner Master in Akmens Ridge	아크멘스 능선에 있는 파드너 마스터를 찾아가세요.
消滅亞希梅斯堤交叉路的赤紅安布羅樹精	Defeat Red Tree Ambulos at Apsimesti Crossroads	압시메스티 교차로의 붉은 트리암불로 처치
請去找祈願森林的巫師大師。	Go to the Sorcerer Master in Forest of Prayer	기원의 숲의 소서러 마스터를 찾아 가세요.
請去找大王關口的鐵甲騎兵大師。	Go to the Cataphract Master in Gateway of Great King	대왕의 관문의 캐터프랙트 마스터를 찾아 가세요.
請和大王關口的奇術師大師見面。	Go to the Thaumaturge Master in Gateway of Great King	대왕의 관문에 있는 쏘마터지 마스터를 만나세요.
請和祈願森林的巫師大師見面	Meet the Sorcerer Master in Forest of Prayer	기원의 숲에 있는 소서러 마스터를 만나세요
勒肯家門的印章[侍從轉職]	Legwyn Family's Seal [Squire Advancement]	르귄 가문의 인장[스콰이어 전직]
古老大海的名譽[海賊轉職]	Honor of the Old Sea [Corsair Advancement]	옛 바다의 명예[커세어 전직]
王國軍團的軍團旗[百夫長轉職]	Royal Army Corps Machine [Centurion Advancement]	왕국 군단의 군단기[센츄리온 전직]
失蹤的使團的去向[雙酬傭兵轉職]	Missing Delegation's Whereabouts [Doppelsoeldner Advancement]	실종된 사절단의 행방[도펠죌트너 전직]
長生不老的女人[巫師轉職]	Invincible Lady [Sorcerer Advancement]	불노불사의 여인[소서러 전직]
鍊金術士的情由[時空法師轉職]	Alchemist's Story [Chronomancer Advancement]	연금술사의 사정[크로노맨서 전직]
死後遺留的物品[死靈法師轉職]	Things Left Behind Death [Necromancer Advancement]	죽음 뒤 남겨진 것들[네크로맨서 전직]
水晶礦山的過去(1)[鍊金術士轉職]	Past of Crystal Mine (1) [Alchemist Advancement]	수정광산의 과거(1)[알케미스트 전직]
水晶礦山的過去(2)[鍊金術士轉職]	Past of Crystal Mine (2) [Alchemist Advancement]	수정광산의 과거(2)[알케미스트 전직]
神不知鬼不覺[流氓轉職]	No One Knows [Rogue Advancement]	쥐도 새도 모르게[로그 전직]
利迪亞夏班與黑色家族[造箭者轉職]	Lydia Schaffen and the Black Family [Fletcher Advancement]	리디아 샤펜과 블랙가문[플레쳐 전직]
馴服怪物[馴鷹者轉職]	Handling Monsters [Falconer Advancement]	몬스터 길들이기[응사 전직]
百發百中[黑暗騎兵轉職]	Perfect Marksmanship [Schwarzer Reiter Advancement]	오십발오십중[슈바르츠 라이터 전직]
歐爾帕斯克林的責任[武僧轉職]	Responsibility of the Olpas Painting [Monk Advancement]	올파스 그림의 책임[몽크 전직]
聖職者的預備帳簿[寬恕者轉職]	Reserved Records of the Cleric [Pardoner Advancement]	성직자의 예비장부[파드너 전직]
災禍的結果也是很棒的樣本[德魯伊轉職]	Disaster is a Great Sample [Druid Advancement]	재앙의 결과도 훌륭한 샘플[드루이드 전직]
接收障礙[神諭師轉職]	Reception Error [Oracle Advancement]	수신장애[오라클 전직]
把偷取的物品交給柯拉佩達雜貨商人	Give the stolen goods to the Klaipeda Item Merchant	클라페다 잡화 상인에게 훔친 물품 전달
收集BOSS怪物卡片	Collect Boss Monster Card	보스 몬스터 카드 수집
與柯拉佩達雜貨商人對話	Talk to Klaipeda Item Merchant	클라페다 잡화 상인과 대화
在史爾特凱拉森林尋找雜貨商人的父親	Find the Item Merchant's father in Sirdgela Forest	시르드겔라 숲에서 잡화 상인의 아버지 찾기
把父親的衣服碎片交給雜貨商人	Give the piece of father's clothes to Item Merchant	잡화 상인에게 아버지의 옷 조각 전달
與佩迪米安雜貨商人見面	Meet Fedimian Item Merchant	페디미안 잡화 상인 만나기
請去找佩迪米安的侍從大師。	Go to the Squire Master in Fedimian	페디미안에 있는 스콰이어 마스터를 찾아가세요.
勒肯家門的印章碎片	Piece of Legwyn Family Seal	르귄가의 인장 조각
該做的事	Things to do	할일
請去找祈願森林的百夫長大師。	Go to the Centurion Master in Forest of Prayer	기원의 숲에 있는 센츄리온 마스터를 찾아가세요.
請去找佩迪米安的雙酬傭兵大師。	Go to the Doppelsoeldner Master in Fedimian	페디미안에 있는 도펠죌트너 마스터를 찾아가세요.
請去找祈願森林的巫師大師。	Go to the Sorcerer Master in Forest of Prayer	기원의 숲에 있는 소서러 마스터를 찾아가세요.
請去找碑石路的時空法師大師。	Go to the Chronomancer Master in Stele Road	비석로에 있는 크로노맨서 마스터를 찾아가세요.
請去找謬樂斯通道的死靈法師大師。	Go to the Necromancer Master in Mullers Passage	뮬러스 통로에 있는 네크로맨서 마스터를 찾아가세요.
水晶礦山的過去	Past of the Crystal Mine	수정광산의 과거
和鍊金術士大師對話	Talk to the Alchemist Master	알케미스트 마스터와 대화
請去找佩迪米安的流氓大師。	Go to the Rogue Master in Fedimian	페디미안에 있는 로그 마스터를 찾아가세요.
請去找女神的古院的造箭者大師。	Go to the Fletcher Master in Goddess' Ancient Garden	여신의 옛뜰에 있는 플레쳐 마스터를 찾아가세요.
請去找碑石路的馴鷹者大師。	Go to Falconer Master in Stele Road	비석로에 있는 응사 마스터를 찾아가세요.
與黑暗騎兵大師對話	Talk to the Schwarzer Reiter Master	슈바르츠 라이터 마스터와 대화
請去找祈願森林的黑暗騎兵大師。	Go to the Schwarzer Reiter Master in Forest of Prayer	기원의 숲에 있는 슈바르츠 라이터 마스터를 찾아가세요.
請去找柯拉佩達的神諭師大師。	Go to the Oracle Master in Klaipeda	클라페다에 있는 오라클 마스터를 찾아가세요.
我會把印章收回來	I will retrieve the seal	인장을 수거해오겠다고 한다
我不想介入他人的家事	Tell you don't want to get involved in a family matter	집안일에 끼고 싶지 않다고 한다
真是胡說八道	Tell that it's absurd	터무니없는 소리라고 한다
我當然願意幫忙	I will certainly help	당연히 돕겠다고 한다
我沒什麼興趣	I am not interested	별로 관심없다고 한다
放心交給我吧	Tell to believe in you	믿고 맡겨두라고 한다
我不想干預奇怪的事	I don't want to get involved in a suspicious task	수상한 일에는 관여하지 않겠다고 한다
傳達狀況中/TALK/3/TRACK_BEFORE/None	Telling him the circumstances/TALK/3/TRACK_BEFORE/None	상황을 전하는 중/TALK/3/TRACK_BEFORE/None
長生不老的安基納斯[巫師轉職]	Eternal Amjinas [Sorcerer Advancement]	불노불사의 암지나스[소서러 전직]
我去問問再回來	I will ask him	물어보고 오겠다고 한다
直接去	Tell him to go there himself	직접 가라고 한다
傳達聽到的話中/TALK/3/TRACK_BEFORE/None	Passing what you heard/TALK/3/TRACK_BEFORE/None	들은 이야기를 전하는 중/TALK/3/TRACK_BEFORE/None
太可怕了，我要放棄	I will quit since it's scary	무서우니 관두겠다고 한다
自己的事情，自己看著辦	Tell him to do his task on his own	자기 일은 알아서 하라고 한다
在泰內聖堂地下1層收集死亡魔特斯的尾針	Collect Desmodus' Tail Pins at Tenet Church B1	테넷 성당 지하 1층에서 데스모두스의 꼬리침 수집
葛利查頓的黑指甲	Glizardon's Black Nails	글리자돈의 검은 손톱
消滅泰內聖堂地下1層的葛利查頓	Defeat a Glizardon in Tenet Church B1	테넷 성당 지하 1층의 글리자돈 처치
尋找大海賊普拉迪斯洛巴斯的物品	Look for the objects of the Great Pirate Vladslovas	대해적 블라디슬로바스의 물건 찾기
回收破裂的王國軍軍團旗	Retrieve the ripped Royal Army's Flag	찢어진 왕국군의 군단기 회수
尋找失蹤的使者的下落	Find the whereabouts of the disappeared 	실종된 사절의 행방 찾기
收集有關安基納斯的情報	Collect the information regarding Amjinas	암지나스에 대한 정보 수집
探索水晶礦山	Explore the Crystal Mine	수정광산 탐사
獲得散發強烈迷戀之意的遺物	Obtain the keepsakes which you could feel strong regrets	강한 미련이 느껴지는 유품 획득
勘查水晶礦山	Explore Crystal Mine	수정광산 탐색
我願意尋找印章	Accept	인장을 찾겠다고 한다
我不想介入他人的私事	Reject	개인사에 끼고 싶지 않다고 한다
收集勒肯家門的印章碎片	Piece of Legwyn Family Seal	르귄가의 인장 조각 수집
交給侍從大師	Talk to the Squire Master	스콰이어 마스터에게 전달
搜索大海賊普拉迪斯洛巴斯的項鍊	Search for the necklace of the Great Pirate Vladslovas	대해적 블라디슬로바스의 목걸이 수색
永生不朽的安基納斯[巫師轉職]	Eternal Amjinas [Sorcerer Advancement]	불로불사의 암지나스[소서러 전직]
我希望親耳聽	Tell him that it will be better to listen directly	직접 듣는 게 좋겠다고 한다
我沒有那種勇氣	I don't have guts for it	그럴 용기는 없다고 한다
請去找夏奧雷伊礦山村莊的拜杜塔斯。	Meet Vaidotas at Siauliai Miners' Village	샤울레이 광산 마을에 있는 바이도타스를 찾아가세요.
偷偷把禮物交給斥候大師	Secretly give the present to the Scout Master	스카우트 마스터에게 몰래 선물 전달
查找與利迪亞夏班有關的線索	Search for the traces of Lydia Schaffen	리디아 샤펜에 관한 단서 수색
交給造箭者大師	Give them to the Fletcher Master	플레쳐 마스터와 전달
請把太陽之甕放在死靈查普利看守的位置上！	Put the Sun Essence on the spot that Chapparition was guarding	채퍼리션이 지키던 자리에 태양의 항아리를 잘 놓아두세요!
空箱子	It's an empty box	빈 상자입니다
傳達狀況中	Explaining the situation	상황을 전하는 중
傳達聽到的話中	Explaining what you heard	들은 이야기를 전하는 중
