尤克利那斯 	Jugrinas	유그리나스
你把植物標本帶來了嗎?{nl}	Did you bring the plant samples?	식물 표본은 잘 가져오셨나요?{nl}
奎波爾 蕾妮亞	Kupole Lenja	큐폴 레냐
找到預言之書了嗎?	Did you find the Prophecy Tome?	예언의 서는 찾으셨나요?
凱都拉商團員艾達	Kedoran Alliance Merchant Alta	케도라 상단원 알타
亞奎爾拉斯	Aquilas	아퀼라스
梅坎	Mechen	메켄
傑諾納斯	Jenonhas	제노나스
造箭者大師	Fletcher Master	플레처 마스터
他將探測造箭者之箭的製作書交給你？	He gave you a recipe that will allow us to craft equipment that will help us detect the Flechette?	플레세트를 탐지 할 수 장치를 만드는 방법이 적힌 제작서를 줬단 말입니까?
只要我去世伊魯森林，就能見到拉達女神了吧？	I suppose I'll be able to meet her if I go to Seir Rainforest?	제가 세이르 숲으로 간다면 라다 여신을 만나 뵐 수 있는거겠죠?
祭司奇達斯	Priest Kidas	사제 키다스
祭司布魯納斯	Priest Brunas	사제 브루나스
好。	Ohla	올라
柯提斯	Curtis	커티스
你說這地方的難民的苦衷都聽過了？	You've listened to all of the worries of the people here?	이곳 난민들의 사정을 다 들으셨다고요?
真的嗎？	Really?	정말입니까?
亞烏雷斯	Aurlelse	아우랠스
阿爾雷克斯	Alex	알렉스
威欽斯	Wickens	위킨스
米由斯	Myuse	미유스
瑞爾	Liel	리엘
奈格爾斯	Nagles	네이글스
慧樂斯	Heres	헤르스
得雷絲	Dreis	드레이스
帕迪亞	Phadia	파디야
伊娃特	Wyatt	이와트
瓦塔斯	Waltas	왈타스
希塔斯	Ciatas	시타스
魯帕斯	Rhupas	루파스
歐得特	Ohdette	오데트
薩爾里亞	Salewya	살뤼야
丹尼爾斯	Daniels	다니엘스
看似沒有主人的狗	A Dog with no Owner	주인 없어 보이는 개
來歷不明的設施	Unidentified Facility	정체불명의 시설물
亞佳伊拉弗羅里幻影	Agailla Flurry's Spirit	아가일라 플러리 환영
亞佳伊拉弗羅里幻影	Agailla Flurry Apparition	아가일라 플러리 환영체
亞佳伊拉弗羅里幻影	Agailla Flurry Apparition	아가일라 플러러 환영체
第一 	First 	첫번째 
為何這麼慢呢？	What took you so long?	왜 이리 늦으신거죠?
躲藏的適當場所	The perfect place to hide	몸을 숨기기에 적당한 장소
請小心謹慎，千萬別被猜忌的哈勃克與野心的哈勃克發現。	Be careful so that you are not discovered by either Suspicion Hauberk nor Ambition Hauberk	의심의 하우벅과 야망의 하우벅에게 들키지 않게 조심히 움직이세요.
傭兵海藍達	Mercenary Heranda	용병 헤란다
團長基高	Commanding Officer Gigho	단장 기고
奎波爾魯吉萊	Kupole Rugile	큐폴 루길레
奎波爾沙耶	Kupole Saya	큐폴 사야
奎波爾薇塔	Kupole Ouida	큐폴 위다
奎波爾黎泰	Kupole Litae	큐폴 리테
奎波爾塔奴泰	Kupole Danute	큐폴 다누테
守護水晶怎麼樣了呢？	How's the protection crystal?	수호의 수정은 어떻게 됐나요?
奎波爾斯卡伊娃	Kupole Skywa	큐폴 스카이와
反抗軍史基爾戈意拉	Resistor Skirgaila	저항군 스키르가일라
反抗軍亞普拉奧摩斯	Resistor Abraomas	저항군 아브라오마스
雷歐納勒達斯	Leonardas	레오나르다스
反抗軍雷歐納勒達斯	Resistor Leonardas	저항군 레오나르다스
殺了我吧！	Killing me	나를 죽이라
皮蘭敏 布蘭登	Refugee Brandon	피난민 브랜든
難民 蜜莉亞	Refugee Mylija	피난민 밀리아
難民 格雷格	Refugee Greg	피난민 그렉
你會幫忙吧？	You'll help us right?	도와주시는 거죠?
領主 里烏達斯	Lord Ryudhas	영주 리우다스
誰阿這樣突然出現在我身邊？	Who are you to stand in front of me?	누군데 이렇게 불쑥 내 앞에 나타난 거지?
和優庫巴斯家的小孩爭吵的理由是？	The reason I am fighting with the Joquvas lad?	요쿠바스가의 애송이랑 싸우는 이유?
里烏達斯的護衛兵	Ryudhas Guard	리우다스의 호위병
領主 優庫巴斯	Lord Joquvas	영주 요쿠바스
優庫巴斯的護衛兵	Joquvas Guard	요쿠바스의 호위병
瑪樂寇斯	Marcus	마르커스
你說有東西要給我？	You have something for me?	제게 전해주실 것이 있다고요?
調查隊長 艾爾拉	Investigation Team Leader Ella	조사대장 엘라
調查員 凱斯柏	Investigator Gasper	조사원 개스퍼
調查員 戶萊以修	Investigator Horatio	조사원 호레이쇼
埃莫艾利斯	Emmanuelis	애마누엘리스
諾貝禮爾的傳染病	The Nobreer Epidemic	노브리어의 역병
找到傳染病的治療方法後(1)	Finding a Cure for the Epidemic (1)	역병의 치료법을 찾아서(1)
找到傳染病的治療方法後(2)	Finding a Cure for the Epidemic (2)	역병의 치료법을 찾아서(2)
找到傳染病的治療方法後(3)	Finding a Cure for the Epidemic (3)	역병의 치료법을 찾아서(3)
找到傳染病的治療方法後(4)	Finding a Cure for the Epidemic (4)	역병의 치료법을 찾아서(4)
找到傳染病的治療方法後(5)	Finding a Cure for the Epidemic (5)	역병의 치료법을 찾아서(5)
你是神遊到哪去啦	Are you completely out of your mind?	정신을 어디에 두고 다니냐고 한다
找到傳染病的治療方法後(6)	Finding a Cure for the Epidemic (6)	역병의 치료법을 찾아서(6)
傳染病的真面目(1)	The Truth Behind the Epidemic (1)	역병의 정체(1)
傳染病的真面目(2)	The Truth Behind the Epidemic (2)	역병의 정체(2)
諾貝禮爾的瘟神	Nobreer Demonic Plague	노브리어의 역귀
拉伊瑪留下的預言之書(1)	Laima's Prophecy Tome (1)	라이마가 남긴 예언의 서(1)
拉伊瑪留下的預言之書(2)	Laima's Prophecy Tome (2)	라이마가 남긴 예언의 서(2)
魔族的誓約(1)	Demon Treaty (1)	마족의 서약(1)
魔族的誓約(2)	Demon Treaty (2)	마족의 서약(2)
魔族的誓約(3)	Demon Treaty (3)	마족의 서약(3)
魔族的誓約(4)	Demon Treaty (4)	마족의 서약(4)
女神的誓約(1)	Goddess Treaty (1)	여신의 서약(1)
女神的誓約(2)	Goddess Treaty (1)	여신의 서약(2)
女神與魔族的故事(1)	A Story of Demons and Goddesses (1)	여신과 마족의 이야기(1)
女神與魔族的故事(2)	A Story of Demons and Goddesses (2)	여신과 마족의 이야기(2)
女神與魔族的故事(3)	A Story of Demons and Goddesses (3)	여신과 마족의 이야기(3)
阿爾蘭必的故事(1)	Alembique Tales(1)	알렘빅 이야기(1)
為什麼進不去	What is it? 	왜 못들어가느냐고 묻는다
詢問為什麼組成傭兵團	Why was the mercenary group formed?	용병단은 왜 꾸린 건지 물어본다
阿爾蘭必的故事(2)	Alembique Tales(2)	알렘빅 이야기(2)
阿爾蘭必的故事(3)	Alembique Tales(3)	알렘빅 이야기(3)
阿爾蘭必的故事(4)	Alembique Tales(4)	알렘빅 이야기(4)
第一位客人的角色(1)	The First Guest's Role (1)	첫 손님의 역할(1)
第一位客人的角色(2)	The First Guest's Role (2)	첫 손님의 역할(2)
轉移注意力	Change of Focus	관심돌리기
會依照計畫進行	I'll follow the plan	계획대로 하겠다고 한다
整理圖書	Organize books	도서정리
被束縛的命運(1)	Trapped Destiny (1)	틀에 갇힌 운명(1)
被束縛的命運(2)	Trapped Destiny (2)	틀에 갇힌 운명(2)
被束縛的命運(3)	Trapped Destiny (3)	틀에 갇힌 운명(3)
被束縛的命運(4)	Trapped Destiny (4)	틀에 갇힌 운명(4)
我會試著考慮	I'll think it through	고려해보겠다고 한다
前往影子底下(1)	Going Below the Shadow (1)	그림자 밑으로(1)
前往影子底下(2)	Going Below the Shadow (2)	그림자 밑으로(2)
前往影子底下(3)	Going Below the Shadow (3)	그림자 밑으로(3)
前往影子底下(4)	Going Below the Shadow (4)	그림자 밑으로(4)
前往影子底下(5)	Going Below the Shadow (5)	그림자 밑으로(5)
前往影子底下(6)	Going Below the Shadow (6)	그림자 밑으로(6)
前往影子底下(7)	Going Below the Shadow (7)	그림자 밑으로(7)
那是什麼意思？	What are you talking about?	무슨 소리냐고 한다
需要的失誤(1)	Necessary Mistake (1)	필요한 실수(1)
需要的失誤(2)	Necessary Mistake (2)	필요한 실수(2)
需要的失誤(3)	Necessary Mistake (3)	필요한 실수(3)
需要的失誤(4)	Necessary Mistake (4)	필요한 실수(4)
需要的失誤(5)	Necessary Mistake (5)	필요한 실수(5)
需要的失誤(6)	Necessary Mistake (6)	필요한 실수(6)
需要的失誤(7)	Necessary Mistake (7)	필요한 실수(7)
需要的失誤(8)	Necessary Mistake (8)	필요한 실수(8)
沒有記錄的歷史(1)	The History that Will Not Be Recorded (1)	기록되지 않을 역사(1)
沒有記錄的歷史(2)	The History that Will Not Be Recorded (2)	기록되지 않을 역사(2)
沒有記錄的歷史(3)	The History that Will Not Be Recorded (3)	기록되지 않을 역사(3)
沒有記錄的歷史(4)	The History that Will Not Be Recorded (4)	기록되지 않을 역사(4)
沒有記錄的歷史(5)	The History that Will Not Be Recorded (5)	기록되지 않을 역사(5)
沒有記錄的歷史(6)	The History that Will Not Be Recorded (6)	기록되지 않을 역사(6)
沒有記錄的歷史(7)	The History that Will Not Be Recorded (7)	기록되지 않을 역사(7)
沒有記錄的歷史(8)	The History that Will Not Be Recorded (8)	기록되지 않을 역사(8)
沒有記錄的歷史(9)	The History that Will Not Be Recorded (9)	기록되지 않을 역사(9)
黑翼的影子(1)	Shadow of the Black Wing (1)	검은 날개의 그림자(1)
黑翼的影子(2)	Shadow of the Black Wing (2)	검은 날개의 그림자(2)
黑翼的影子(3)	Shadow of the Black Wing (3)	검은 날개의 그림자(3)
黑翼的影子(4)	Shadow of the Black Wing (4)	검은 날개의 그림자(4)
黑翼的影子(5)	Shadow of the Black Wing (5)	검은 날개의 그림자(5)
黑翼的影子(6)	Shadow of the Black Wing (6)	검은 날개의 그림자(6)
阻止入侵	Stop the Invasion	침공 저지
未識別記錄次數	Retrieve Unidentified Records	미식별 기록 회수
阿爾蘭必的故事(5)	Alembique Tales(5)	알렘빅 이야기(5)
阿爾蘭必的故事(6)	Alembique Tales(6)	알렘빅 이야기(6)
阿爾蘭必的故事(7)	Alembique Tales(7)	알렘빅 이야기(7)
阿爾蘭必的故事(8)	Alembique Tales(8)	알렘빅 이야기(8)
傳說的真相	A Legend's Reality	전설의 실체
性命的價值	The price of life	목숨값
腳得先動起來	Legs must work properly	우선 다리가 움직여야
好好躲起來的話會沒事的	Say that it will be safe enough	몸을 잘 숨기고 있으면 별 일 없을거라 한다
取出藥草中	Giving herbs	약초를 건네는 중
接二連三的陷阱(1)	Trap after trap(1)	연이은 함정(1)
接二連三的陷阱(2)	Trap after trap(2)	연이은 함정(2)
在毒面前沒有所謂壯士	Poison will be strong enough	독 앞에는 장사없다
究竟能幫助我嗎	I don't know if it will be useful	과연 날 도울 수 있을까
無論是什麼試驗都沒有問題	Say that you are prepared to face any challenge	어떤 시험이든 문제없다고 한다
我不想和複雜的事糾纏	Say that you do not want to be involved in anything complicated	복잡한 일에는 얽히기 싫다고 한다
詢問怪獸的真面目	Ask about the beast's identity	괴수의 정체에 대해 묻는다
繁複的準備過程(1)	Complicated Preparations(1)	까다로운 준비 과정(1)
是什麼樣的材料	Ask what ingredients are needed	어떤 재료인지는 묻는다
繁複的準備過程(2)	Complicated Preparations(2)	까다로운 준비 과정(2)
直接去準備看起來也沒什麼問題	Say that you will be fine on your own	직접 돌아다녀도 지장없어 보인다고 한다
繁複的準備過程(3)	Complicated Preparations(3)	까다로운 준비 과정(3)
把怪獸趕往陷阱(1)	To trap a beast(1)	괴수를 함정으로 몰아넣기(1)
把怪獸趕往陷阱(2)	To trap a beast(2)	괴수를 함정으로 몰아넣기(2)
與怪獸的最後決戰(1)	Beast's End(1)	괴수와의 마지막 결전(1)
與怪獸的最後決戰(2)	Beast's End(2)	괴수와의 마지막 결전(2)
難民用餐準備	Prepare food for the refugees	피난민의 식사준비
我會去收集來給你	Say that you will collect it	모아다 주겠다고 한다
若太忙就拒絕吧	Refuse as you are too busy	갈길이 바쁘다며 거절한다
自己的身體要顧好	So that they will be able to protect themselves	자기 몸은 지킬 수 있도록
若變得太危急就逃吧	Say that they should run if it is too dangerous	위급해지면 그냥 도망가라고 한다
協商家	Negotiator	협상가
我會試試看	Say that you will try to do so	시도해 보겠다고 한다
我沒有自信說服他	Say that you are not feeling too confident	설득할 자신이 없다고 한다
說服里烏達斯領主(1)	Convincing Lord Ryudhas(1)	리우다스 영주 설득하기(1)
建議與優庫巴斯領主談談看	Propose talking to Lord Joquvas	요쿠바스 영주와 대화해 볼 것을 권한다
若覺得抱歉就退開	Apologies for the intrusion and step away	실례했다며 그 앞에서 물러난다
兩位領主為何會在這爭吵	Ask why the two lords are fighting here	두 영주가 이 곳에서 왜 싸우는지 묻는다
說服里烏達斯領主(2)	Convincing Lord Ryudhas(2)	리우다스 영주 설득하기(2)
那麼我會交給領主的部下	Say that you will leave it to his men	그럼 영주의 부하에게 맡기겠다고 한다
說服里烏達斯領主(3)	Convincing Lord Ryudhas(3)	리우다스 영주 설득하기(3)
我很願意去幫你找	Say that you are more than willing to help	기꺼이 찾아 주겠다고 한다
那種事就叫部下做吧	Tell him to make his men do it	그 정도는 부하들을 시키라고 한다
說服優庫巴斯領主(1)	Convincing Lord Joquvas(1)	요쿠바스 영주 설득하기(1)
等一等聽我說吧	Ask him to hear your tale	잠시만 이야기를 들어달라고 한다
什麼都不說地離開	Step back without saying anything	말 없이 물러난다
說服優庫巴斯領主(2)	Convincing Lord Joquvas(2)	요쿠바스 영주 설득하기(2)
我會去除掉怪物	Say that you will deal with the monsters	몬스터를 해치우겠다고 한다
條件講清楚之前是不會答應的	Refuse to do so until he listens to you	용건부터 밝히겠다며 거절한다
說服優庫巴斯領主(3)	Convincing Lord Joquvas(3)	요쿠바스 영주 설득하기(3)
詢問要找甚麼東西	Ask what you need to look for	어떤 물건을 찾으면 되는지 묻는다
在那之前先好好談談吧	Say that he must make a promise before you agree to do anything	그 전에 대화 약속이 우선이라고 한다
說服優庫巴斯領主(4)	Convincing Lord Joquvas(4)	요쿠바스 영주 설득하기(4)
知道了那麼就出發吧	Agree to the terms	알았다며 가자고 한다
這樣就夠了接著進行協議吧	Say that he should keep his end of the promise	이 정도면 되었으니 대화 약속을 요구한다
油與水	Oil and water	물과 기름
不是個好對付的對手	It was not an easy opponent	쉬운 상대가 아니었다
依照啟示者的建議	As the Revelator proposed	계시자의 제안대로
和優庫巴斯領主提出重劃新的國界的建議。	Propose that a new boundary should be set with Lord Joquvas	요쿠바스 영주와 새로운 경계를 정할 것을 제안한다
考慮看看其他方法	Think of another solution	다른 방법을 고민한다
庫凱利禁區	Kugheri Restricted Area	쿠게리 금지구역
很抱歉我很忙沒時間理你	Refuse as you are too busy	미안하지만 갈길이 바쁘다며 거절한다
為了大義	For the greater good	대의를 위해서
害怕為了偉大事業犧牲自我	Say that you feel a bit overwhelmed	거창한 일에 나서기는 꺼려진다고 한다
關於拉明將軍的命令	About General Lhamin's Orders	라민장군의 명령에 대해서
魔族的命令書	Demon Orders	마족의 명령서
推算敵人的陰謀	Going through enemy plans	적의 계획 파헤치기
爽快答應要收集	Say that you will gladly help	기꺼이 모아다 주겠다고 한다
收集再多也無法找到解答的	Say that you doubt more information will help	더 모은다고 해석이 될 것 같지 않다고 한다
不是魔族的對手	Say that you are not able to face the demons	마족을 직접 상대하는 것은 무리라고 한다
王家樹林	Trees of the Royal Family	왕가의 나무들
這件事也太不明不白了	Say that the task is too abstract	너무 막연한 일 같다고 한다
王與時間之縫	The gap between King and time	왕과 시간의 틈
一起出發吧	Say that you should go together	함께 가자고 한다
坦尼爾時2世的王稜	Taniel the Second's Royal Mausoleum	타니엘 2세의 왕릉
血的證明	Proof by blood	피의 증명
用庫凱利的靈魂填補紋章吧	Propose filling the seal with Kugheri souls	쿠게리의 영혼을 대신 문장에 채워보자고 한다
自己也沒有適合的辦法	Say that you don't any ideas	자신도 마땅한 방법이 없다고 한다
取出魔石中	Handing the magic stone	마석을 건네는 중
再藏起來	Hiding once more	다시 감춰두기
詢問可以幫忙甚麼	Ask if there is anything else you can help with	무엇을 더 도우면 좋을지 묻는다
找到入口了我的任務就到此為止囉	Say that your job is done since the entrance has been located	입구를 발견했으니 자신의 역할은 끝났다고 한다
他們無法自己完成的	Say that they must not know	그들이 알아서는 안된다
要消滅牠們	Say that you will deal with them	그들을 처치하겠다고 한다
再封印完成了可以收工啦	Say that all loose ends must be covered since you have come this far	재봉인까지 했으니 일을 마무리짓자고 한다
賭上人質的交易	Trading with Hostage at Stake	인질을 내건 거래
休憩地的水晶石	Crystal Stone at the Rest Place	쉼터의 수정석
空地的水晶石	Crystal Stone at the Lot	공터의 수정석
調查水晶石中	Investigating the Crystal Stone	수정석을 조사 중
交叉路的水晶石(1)	Crystal Stone at the Crossroad (1)	교차로의 수정석(1)
交叉路的水晶石(2)	Crystal Stone at the Crossroad (2)	교차로의 수정석(2)
交叉路的水晶石(3)	Crystal Stone at the Crossroad (3)	교차로의 수정석(3)
沒有現身的魔君主	The Hidden Demon Lord	드러내지 않는 마군주
補給品消滅作戰	Supply Removal Operation	보급품 제거 작전
去拜託其他人吧。	Can you ask someone else to do it?	다른 사람에게 부탁하라고 한다.
調查基普卡斯交叉路光態	Investigation on Zibukas Crossroad's Ecosystem	지부카스 교차로 생태 조사
搬移前燒毀吧！	Burning Before Moving	옮기기 전에 태워버리자
為了能更順利進行調查	For Fluid Investigation	원활한 조사를 위해서
新人在哪裡(1)	Where is the Recruit? (1)	신입은 어디에(1)
新人在哪裡(2)	Where is the Recruit? (2)	신입은 어디에(2)
新人在哪裡(3)	Where is the Recruit? (3)	신입은 어디에(3)
藍光引導的地方	Where the Blue Light Leads	푸른 빛이 인도하는 곳
雙重交易	Double Cross Trading	이중 거래
正在交談中	Telling the story	이야기를 해주는 중
後院的水晶石	Crystal Stone in the Courtyard	안뜰의 수정석
正在確認水晶中	Checking the crystal stone	수정석을 확인해보는 중
庭院的水晶石(1)	Crystal Stone in the Garden (1)	정원의 수정석(1)
庭院的水晶石(2)	Crystal Stone in the Garden (2)	정원의 수정석(2)
為了完美的清除	For Perfect Removal	완벽한 제거를 위해
啟動自爆裝置中	Activating self-destruction	자폭 장치를 작동시키는 중
難以理解的結尾	Conclusion with Different Interests	이해가 얽힌 결말
食用湖水長大的葉子	A Leaf Grown by the Lake	호수의 물을 먹고 자란 잎
提升效果的材料	Ingredient for Maximizing the Effect	효과를 높여주는 재료
蘊含湖水靈氣的樹液	Spiritually Infused Lakeland Sap	호수의 정기를 담은 수액
神奇樹液的效果	Sap of Wonders	신통한 수액의 효과
無論如何都要降低	Reducing as Much as Possible	조금이라도 줄여야
傳說的證據(1)	Marks of a legend(1)	전설의 흔적(1)
會幫助你請告訴我你要找的東西	Ask him to tell you since you are willing to help	일을 도와줄테니 무슨 일인지 말해보라고 한다
自己慢慢找吧	Tell him to obtain them himself	알아서 구하라고 한다
傳說的證據(2)	Marks of a legend(2)	전설의 흔적(2)
會幫你尋找造箭者之箭	Say that you will assist in finding the Flechette	플레세트를 찾는 일을 도와주겠다고 한다
希望能找到要找的東西啊	Wish him the best in finding what he is looking for	찾고 있는 것을 꼭 찾길 바란다고 말한다
傳說的證據(3)	Marks of a legend(3)	전설의 흔적(3)
會幫忙找到比爾卡斯的毛	Agree to find Vilkas fur	빌카스의 털을 구해주겠다고 한다
小心仔細找啊	Say that you wish him the best of luck	조심히 찾으라고 한다
傳說的證據(4)	Marks of a legend(4)	전설의 흔적(4)
一起去尋找吧	Agree to search together	같이 수색하겠다고 한다
自己會去找	Say that he is on his own	알아서 수색하라고 한다
傳說的證據(5)	Marks of a legend(5)	전설의 흔적(5)
到傑諾納斯那裡去	Go to Jenonhas	제노나스에게 간다
以後再去啦	Say that you will go there later	나중에 찾아가보겠다고 한다
傳說的證據(6)	Marks of a legend(6)	전설의 흔적(6)
跟隨傑諾納斯	Follow Jenonhas	제노나스를 따라간다
放著不管	Leave him alone	내버려둔다
傳說的證據(7)	Marks of a legend(7)	전설의 흔적(7)
我去造箭者大師那裡看看吧	Say that you will go to the Fletcher Master instead	그럼 내가 플레쳐 마스터에게 가보겠다고 한다
派遣其他人過去	Tell him to send someone else	다른 사람을 보내라고 한다
訴說有關梅的事情	Talking about Mechen	메켄과 관련된 이야기를 하는 중
當梅坎吐露出隱情後，就處置他，並且把造箭者之箭帶來	Agree to defeat Mechen and bring the Flechette if he tries to do something	메켄이 속내를 드러낼 시 그를 처치해 플레세트를 가져오겠다고 한다
正把事情告訴造箭者大師	Telling Mechen about what was discussed between you and the Fletcher Master	플레쳐 마스터와 한 이야기를 전하는 중
傳說的證據(8)	Marks of a legend(8)	전설의 흔적(8)
去尋找魔族的魔力	Go to retrieve demon magic	마족의 마력을 구하러 간다
使喚你的徒弟就好啦	Tell him to make his apprentices get it	제자들을 시키라고 한다
傳說的證據(9)	Marks of a legend(9)	전설의 흔적(9)
要去尋找比爾卡斯的精髓	Go and retrieve Vilkas essence	빌카스의 정수를 구하러 간다
傳說的證據(10)	Marks of a legend(10)	전설의 흔적(10)
願意幫你找啦	Agree to help search around	찾는데 동참하겠다고 한다
仔細找啊！	Wish them the best of luck	잘 찾아보라고 한다
傳說的證據(12)	Marks of a legend(12)	전설의 흔적(12)
去轉交造箭者大師	Agree to take it to the Fletcher Master	플레쳐 마스터에게 가서 전해주고 오겠다고 한다
正再取出造箭者之箭	Giving the Flechette	플레세트를 건네 주는 중
梅伊班的遺願(1)	Maven's Wishes(1)	메이번의 유지(1)
梅伊班的遺願(2)	Maven's Wishes(2)	메이번의 유지(2)
梅伊班的遺願(3)	Maven's Wishes(3)	메이번의 유지(3)
要去找紀念碑	Agree to go and find the Monument	기념비를 찾으러 가자고 한다
以後再幫你啦	Say that you will help later	나중에 일을 돕겠다고 한다
梅伊班的遺願(5)	Maven's Wishes(5)	메이번의 유지(5)
要跟林塔斯一起尋找紀念碑	Go with Priest Lintas to find the Monument	린타스와 함께 기념비를 찾으러 간다
一個人去尋找	Leave him to go and find the Monument on his own	혼자 찾으러 가게 한다
梅伊班的遺願(6)	Maven's Wishes(6)	메이번의 유지(6)
要取尋找美泰爾藥草	Agree to gather Mittelly Herbs	미탤리 약초를 구해 오겠다고 한다
