委託石	Stone of Requests	의뢰석
守門者貓頭鷹雕像	Gatekeeper Owl Sculpture	문지기 부엉이 조각상
迷路的靈魂	Lost Spirit	길 잃은 영혼
依依不捨的靈魂	Regret many souls	미련 많은 영혼
神聖的貓頭鷹雕像	Sacred Owl Sculpture	신성한 부엉이 조각상
憂鬱的貓頭鷹雕像	Gloomy Owl Sculpture	우울한 부엉이 조각상
那些怪物是從哪冒出來的？	Or Will the monster Where appeared?	저 몬스터들은 어디서 나타난 것일까요?
領路人靈魂	Guiding Spirit	길잡이 영혼
不知名的靈魂	Unknown Spirit	이름 모를 영혼
魔法協會的收集委託	Magic Association Collection Request	마법협회의 수집 의뢰
燃燒中	Getting rid of it	소각 중
連保管所都找不到牠的蹤跡。	There aren't any traces of the storage left	보관소의 흔적조차 남아 있지 않습니다
貓頭鷹雕像的等待	I wait for the owl image	부엉이 조각상의 기다림
安靜的森林(1)	The Silent Forest (1)	고요의 숲(1)
提議要消滅暗黑吉嘎利。	I'll get rid of the Black Zigri	검은 지그리를 처치하겠다고 제안한다
安靜的森林(2)	The Silent Forest (2)	고요의 숲(2)
安靜的森林(3)	The Silent Forest (3)	고요의 숲(3)
提議要確認關口。	We propose is to confirm the barrier	관문을 확인하겠다고 제안한다
安靜的森林(4)	The Silent Forest (4)	고요의 숲(4)
提議要尋找靈魂。	To provide that the try to find the soul	영혼을 찾아보겠다고 제안한다
在毒裡的靈魂(1)	Spiritual Poison (1)	독 안에 든 영혼(1)
提議要消滅赤紅普朗基。	I'll get rid of the Puragi	붉은 푸라기를 처치하겠다고 제안한다
在毒裡的靈魂(2)	Spiritual Poison (2)	독 안에 든 영혼(2)
提議要消滅暗黑南瓜精。	I'll get rid of the Black Sakamoli	검은 사카몰리를 처치하겠다고 제안한다
在毒裡的靈魂(3)	Spiritual Poison (3)	독 안에 든 영혼(3)
提議要確認貓頭鷹雕像。	To provide as try to check the owl image	부엉이 조각상을 확인해보겠다고 제안한다
在毒裡的靈魂(4)	Spiritual Poison (4)	독 안에 든 영혼(4)
貓頭鷹雕像的救援請求	Relief request of owl image	부엉이 조각상의 구원요청
提議要消滅死亡魔特斯。	I'll get rid of the Desmodus	데스모두스를 처치하겠다고 제안한다
森林裡滲入魔族(1)	Demon soaked in the Woods (1)	숲에 스며든 마족(1)
提出要主動幫忙。	We propose to give help	도움을 주겠다고 제안한다
森林裡滲入魔族(2)	Demon soaked in the Woods (2)	숲에 스며든 마족(2)
提議要尋找貓頭鷹雕像。	We propose that the visit the owl image	부엉이 조각상을 찾아가겠다고 제안한다
靈魂獵人(1)	Soul Hunter (1)	영혼 사냥꾼(1)
提出確認貓頭鷹雕像。	We propose is to confirm the owl image	부엉이 조각상을 확인하겠다고 제안한다
靈魂獵人(2)	Soul Hunter (2)	영혼 사냥꾼(2)
提出清除陷阱的建議。	We propose that you want to remove the trap	함정을 제거하겠다고 제안한다
靈魂獵人(3)	Soul Hunter (3)	영혼 사냥꾼(3)
提議要消滅幽靈范托群。	I'll get rid of the Hallowventers	할로우벤터 무리를 처치하겠다고 제안한다
靈魂獵人(4)	Soul Hunter (4)	영혼 사냥꾼(4)
提議要消滅幽靈范托的建議。	I'll get rid of the Hallowventer	할로우벤터를 처치하겠다고 제안한다
打開關口(1)	Opening the Barrier (1)	관문 열기(1)
打開關口(2)	Opening the Barrier (2)	관문 열기(2)
告訴貓頭鷹雕像靈魂的故事。	I willing to talk of soul in owl image	부엉이 조각상에게 영혼의 이야기를 전해준다
迷失的靈魂(1)	The Wandering Soul (1)	헤매는 영혼(1)
迷失的靈魂(2)	The Wandering Soul (2)	헤매는 영혼(2)
提出要消滅黑暗史萊姆的建議。	I'll get rid of the Dark Slime	다크 슬라임을 처치하겠다고 제안한다
迷失的靈魂(3)	The Wandering Soul (3)	헤매는 영혼(3)
安裝鑰匙中	Setting up the key	열쇠 설치 중
比特雷巨蜂的襲擊	Attack of Biteregina	비테레지나의 습격
放餌中	Putting the bait	미끼를 놓는 중
咒術人偶[邪靈祭司轉職]	Shaman Doll [Bokor Advancement]	주술인형[보코르 전직]
密室的秘室	Behind closed doors of secret	밀실의 비밀
我會接受打賭。	I'll take the bet	내기에 응하겠다고 한다
接受試驗。	I accept the test	시험을 받아 들인다
好奇心承認	Positive of curiosity	호기심의 긍정
我會幫忙。	I'll do it	해주겠다고 한다
倒下傭兵的屍體	The dead body of the mercenary who has fallen	쓰러져 있는 용병의 시신
為大體祈禱	Praying for the dead	시신의 명복을 비는 중
為死者祈禱	Praying for the dead	명복을 비는 중
挖掘中	Looking through it	헤쳐보는 중
挖掘中	Digging it	파 헤치는 중
點火燃燒中	Lighting it up	불 불이는 중
守著雕像堆的火並消滅怪物！	Defeat all the monsters while protecting the fire around the pile of sculptures	조각상 더미의 불을 지키면서 몬스터를 모두 처치하세요!
保管室可疑的秘密裝置	Storage Room's Suspicious Secret Device	보관실의 수상한 비밀 장치
囚犯的信件(2)	Letters from Prison (2)	죄수의 편지(2)
外城壁核心回收作戰(1)	Operation Outter Wall Core Retrieval(1)	외성벽 코어 회수 작전(1)
正在和其他奎波爾們說調查的內容	Talking with other Kupoles	다른 큐폴들과 조사한 내용 이야기 중
外城壁的證據保存	Preserve the Evidence of the Outter Wall	외성벽의 증거 보존
收集聖物(4)	Collecting the Sacred Object (4)	성물 수집(4)
我會去挖掘。	I will go excavate it	발굴해 오겠다고 한다
聖物挖掘中	Excavating the Sacred Object	성물 발굴 중
直到最後一隻	Until the last one	마지막 한 마리까지
我會努力看看。	I will try my best	노력해 보겠다고 한다.
聽說那傢伙難搞所以我會拒絕。	He is too much for me	아무래도 그런 녀석은 벅차다며 거절한다.
確認委託石	Check the Stone of Requests	의뢰석 확인
獲得怪物標本	Obtain Monster Samples	몬스터 표본 획득
向委託石報告	Report to the Stone of Requests	의뢰석에 보고
和重裝步兵次級大師對話	Talk to the Hoplite Submaster	하플라이트 서브 마스터와 대화
與念力法師次級大師對話	Talk to the Psychokino Submaster	사이코키노 서브 마스터와 대화
轉交給念力法師次級大師	Deliver to the Psychokino Submaster	사이코키노 서브 마스터에게 전달
和鎖鏈法師次級大師對話。	Talk to the Linker Submaster	링커 서브 마스터와 대화
轉交材料給鎖鏈法師次級大師	Deliver the Materials to the Linker Submaster	링커 서브 마스터에게 재료 전달
紅色礦石龜的外殼碎片	Red Infrorocktor Shell Fragment	붉은 인프로 락터 껍질 조각
與虛弱的貓頭鷹雕像對話	I interact with weak owl image	약한 부엉이 조각상과 대화한다
進入庫萊嶺	Enter Kule Peak	쿨레 고개 진입
移動至萊嶺	Move to Kule Peak	쿨레 고개로 이동한다
消滅暗黑吉嘎利	Defeat Black Zigri	검은 지그리 처치
消滅暗黑吉嘎利	I'll defeat the Black Zigri	검은 지그리를 처치한다
回收骨灰盆	The recovered the remains	유골함을 회수
收集散佈在庫萊嶺入口的骨灰盆。	Collect the Remains' boxes that are scattered across Kule Peak	쿨레 고개입구에 흩어져 있는 유골함을 모아온다
確認靈魂的關口	Check the soul of the barrier	영혼의 관문 확인
確認後進入靈魂的關口	Come back to make sure the soul of the barrier	영혼의 관문을 확인하고 돌아온다
與迷路的靈魂對話	Lost souls and conversation	길 잃은 영혼과 대화
沿著往北的路往上走與迷路的靈魂對話	To talk to the lost souls to climb along the north of the road	북쪽길을 따라 올라가 길 잃은 영혼과 대화한다
與迷路的靈魂對話	I will talk to the lost souls	길 잃은 영혼과 대화한다
消滅赤紅普朗基	Red plastic machine treatment	붉은 푸라기 처치
消滅赤紅普朗基	I do red plastic machine treatment	붉은 푸라기를 처치한다
與依依不捨的靈魂對話	Regret many souls and conversation	미련 많은 영혼과 대화
與依依不捨的靈魂對話	I will talk to regret many souls	미련 많은 영혼과 대화한다
消滅暗黑南瓜精	Defeat Black Sakmoli	검은 사크몰리 처치
消滅暗黑南瓜精	I'll defeat the Black Sakmoli	검은 사크몰리를 처치한다
消滅暗黑南瓜精	Defeat Black Sakmoli	검은 사카몰리 처치
確認貓頭鷹雕像	Check the Owl Sculpture	부엉이 조각상 확인
確認貓頭鷹雕像	I'll check the Owl Sculpture	부엉이 조각상을 확인한다
消滅蜂湧而上的怪物	Defeat the surging monsters	몰려드는 몬스터 처치
消滅蜂湧而上的怪物	I'll defeat the surging monsters	몰려드는 몬스터를 처치한다
與神聖的貓頭鷹雕像對話	Talk with the Sacred Owl Sculpture	신성한 부엉이 조각상과 대화
與神聖的貓頭鷹雕像對話	I'll talk to the Sacred Owl Sculpture	신성한 부엉이 조각상과 대화한다
消滅死亡魔特斯 	Defeat Desmodus	데스모두스 처치
消滅死亡魔特斯 	I'll defeat the Desmodus	데스모두스를 처치한다
與憂鬱的貓頭鷹雕像對話	Conversation with gloomy owl image	우울한 부엉이 조각상과 대화
與憂鬱的貓頭鷹雕像對話	I interact with gloomy owl image	우울한 부엉이 조각상과 대화한다
確認空空的貓頭鷹雕像	Check the empty owl image	텅빈 부엉이 조각상 확인
確認空空的貓頭鷹雕像	I check the empty owl image	텅빈 부엉이 조각상을 확인한다
清除靈魂的陷阱	Pitfalls Delete soul	영혼의 함정 제거
找尋並清除靈魂的陷阱	You want to delete by searching the pitfalls of soul	영혼의 함정을 찾아서 제거한다
消滅地獄亡靈的部下	Load treatment of Necroventer	네크로벤터의 부하 처치
消滅地獄亡靈的部下	I will exterminate the load of Necroventer	네크로벤터의 부하들을 처치한다
消滅靈魂獵人的部下	Load treatment of soul of Hunter	영혼 사냥꾼의 부하 처치
消滅鑰匙管理幽靈范托	Treatment of key keeper Hello vendor	열쇠 지기 헬로우벤터 처치
消滅鑰匙管理幽靈范托並獲得鑰匙	I get the key to defeat key keeper Hello Venter	열쇠 지기 헬로우벤터 처치하고 열쇠를 획득한다
鑰匙管理	Key keeper	열쇠 지기
幽靈范托的部下	Load of hollow vendor	할로우벤터의 부하
與領路人靈魂對話	Soul and conversation of Assistant	길잡이 영혼과 대화
與領路人靈魂對話	I talk to the soul of the Assistant	길잡이 영혼과 대화한다
消滅擋路的怪物	I beat the monster to interfere	방해하는 몬스터를 처치
消滅擋路的怪物	I have defeated the monster that interfere	방해하는 몬스터를 처치한다
消滅地獄亡靈的殘黨	Remnants extermination of Necroventer	네크로벤터의 잔당 처치
消滅暗黑史萊姆	Black slime extermination	검은 슬라임 처치
消滅暗黑史萊姆	I will defeat the black slime	검은 슬라임을 처치한다
確認可疑的場所	Check the suspicious location	의심스런 장소 확인
確認可疑的場所	I confirm the suspected location	의심스런 장소를 확인한다
於限制時間內存活於撲上前來的怪物攻擊下。	I survive from between the time limit pounce monster attacks	제한 시간동안 덤벼드는 몬스터의 공격에서 살아 남는다
與不知名的靈魂對話	Soul a conversation with unknown name	이름 모를 영혼과 대화
與不知名的靈魂對話	I will talk to the soul of unknown name	이름 모를 영혼과 대화한다
消滅擋路的怪物	Monster extermination to block the road	길을 가로막는 몬스터 처치
請消滅比特雷巨蜂。	Please defeat Biteregina	비테레지나를 처치하세요
消滅比特雷巨蜂	Defeat Biteregina	비테레지나 처치
使用大教堂懺悔路挑撥用寶珠	Use the provoking orb at the Penitence Route in the Great Cathedral	대성당 참회로에서 도발용 보주 사용
為了國民和盾牌的劍[高地戰士轉職]	A Sword and Shield for the People [Highlander Advancement]	국민과 방패를 위한 검[하이랜더 전직]
飛禽的妨礙[輕裝步兵轉職]	Disturbance of the Winged Beast [Peltasta Advancement]	날짐승의 방해[펠타스타 전직]
第一支箭[弓箭手轉職]	The First Arrow [Archer Advancement]	첫 번째 화살[아처 전직]
在大教堂的懺悔路收集品質很好的磨刀石	Gather Charcoal Stones from Penitence Route	대성당 참회로에서 질 좋은 숫돌 모아오기
治療師之路[牧師轉職]	Path of the Healer [Cleric Advancement]	치유사의 길[클레릭 전직]
永遠的敬拜[聖火祭司轉職]	Eternal Worship [Krivis Advancement]	영원한 경배[크리비 전직]
和突然出現的劍士大師對話	Suddenly appeared Swordsman master and conversation	갑자기 나타난 소드맨 마스터와 대화
發現隱藏任務	Hidden Quest occurrence	히든 퀘스트 발생
消滅報喪女妖	Banshee treatment	밴시 처치
和突然出現的法師大師對話	Suddenly appeared wizard master and conversation	갑자기 나타난 위저드 마스터와 대화
拜訪法師大師	Find Wizard Master	위저드 마스터 찾아가기
和突然出現的弓箭手大師對話	Archer Master and conversation that appeared suddenly	갑자기 나타난 아처 마스터와 대화
和突然出現的牧師大師對話	Cleric master and conversation that appeared suddenly	갑자기 나타난 클레릭 마스터와 대화
在大教堂中尋找大理石雕像	Available from the Cathedral of marble sculpture	대성당에서 대리석 조각 구하기
將大理石雕像轉交給雕刻家泰斯拉	Marble sculpture transferred to the sculptor Tesla	조각가 테슬라에게 대리석 조각 전달
確認前往第1保管倉庫路上的秘密裝置	Check the Secret Device on the way to Supply Depot Number 1	제1 보관창고로 가는 길에 있는 비밀 장치 확인
破壞秘密裝置周邊出現的冰結水晶	Destroy the Ice Crystals that appeared next to the Secret Device	비밀 장치 주변에 나타난 빙결 수정 파괴
外城壁核心回收作戰	Operation Outter Wall Core Retrieval	외성벽 코어 회수 작전
和奎波爾密爾達對話	Talk to Kupole Milda	큐폴 밀다와 대화
奎波爾密爾達說核心有多重保護，而且怪物多又具攻擊性，這件事不太容易處理。為了安全的調查，請消滅周圍的怪物。	Kupole Milda says that the core is heavily protected by several means and monsters are large in number	큐폴 밀다는 코어가 다중으로 보호되고 있는 데다 어쩐지 몬스터들이 많고 공격적이어서 일이 쉽지 않다고 합니다. 안전한 조사를 위해 주변의 몬스터를 처치하세요.
消滅外城壁第9區域的怪物	Defeat Monsters in the Outter Wall District 9	외성벽 제 9구역의 몬스터 처치
跟奎波爾密爾達報告	Report to Kupole Milda	큐폴 밀다에게 보고
前來挖掘聖物	Excavate the sacred object	성물 발굴해 오기
消滅樹林巨獸哥布林	Defeat Giant Wood Goblin	자이언트 우드 고블린 처치
